flow,amount,categories,unit
"Copper, ion",1.3210092307389824e-05,"('water', 'ocean')",kilogram
Lead,1.2479214877668984e-05,"('air',)",kilogram
Manganese,1.146581037905212e-05,"('soil', 'industrial')",kilogram
"Chromium, ion",1.1027864404433716e-05,"('water',)",kilogram
Chromium,9.371675493102411e-06,"('soil', 'industrial')",kilogram
"Zinc, ion",7.89681462849541e-06,"('water',)",kilogram
Chromium VI,7.46961361708107e-06,"('air', 'low population density, long-term')",kilogram
"Chromium, ion",5.791707150819569e-06,"('water', 'ocean')",kilogram
Chromium,5.392426567291615e-06,"('air',)",kilogram
"Nickel, ion",5.2551083923000655e-06,"('water', 'ocean')",kilogram
Molybdenum,4.654666128746778e-06,"('soil',)",kilogram
Lead,4.002310569575568e-06,"('water',)",kilogram
Lead,3.90967232271879e-06,"('water', 'ocean')",kilogram
Chromium VI,3.839325658601173e-06,"('soil',)",kilogram
Lead,3.6728262772807484e-06,"('soil', 'agricultural')",kilogram
Nickel,3.1074078694926595e-06,"('soil', 'industrial')",kilogram
Copper,2.9003230316507252e-06,"('soil', 'industrial')",kilogram
Silver,2.795124445810069e-06,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,2.037530881688526e-06,"('water',)",kilogram
Silver,1.9936395744048623e-06,"('soil',)",kilogram
Manganese,1.5144106388546773e-06,"('water', 'ocean')",kilogram
Tin,1.2906868677318967e-06,"('air', 'non-urban air or from high stacks')",kilogram
Silver,1.289576808102605e-06,"('air',)",kilogram
Uranium,1.2784612688823786e-06,"('air', 'non-urban air or from high stacks')",kilogram
Nickel,1.2355046734980833e-06,"('soil',)",kilogram
Manganese,1.0883360651043738e-06,"('air',)",kilogram
Tin,9.332970583272572e-07,"('air',)",kilogram
Chromium VI,7.267739389128366e-07,"('air', 'urban air close to ground')",kilogram
Chromium VI,6.281177533646524e-07,"('water',)",kilogram
Lead,5.876995500728141e-07,"('water', 'ground-')",kilogram
"Tin, ion",5.278482676365079e-07,"('water', 'surface water')",kilogram
Tin,4.382549267731585e-07,"('air', 'low population density, long-term')",kilogram
Lead,4.297023822692844e-07,"('soil', 'industrial')",kilogram
Lead,3.347412864344976e-07,"('soil',)",kilogram
"Tin, ion",1.8158256502994304e-07,"('water',)",kilogram
"Chromium, ion",1.7851530263225034e-07,"('water', 'ground-')",kilogram
Chromium,9.690414422700953e-08,"('soil',)",kilogram
Mancozeb,9.383895133321505e-08,"('soil', 'agricultural')",kilogram
"Tin, ion",6.325919714060867e-08,"('water', 'ground-')",kilogram
Uranium,6.146720413629748e-08,"('air',)",kilogram
Dichromate,5.515269495397699e-08,"('water',)",kilogram
Manganese,3.157555815831029e-08,"('soil',)",kilogram
"Lithium, ion",1.2069414017682925e-08,"('water',)",kilogram
Tin,7.91966120214982e-09,"('air', 'urban air close to ground')",kilogram
Antimony,5.066014563014346e-09,"('water', 'ground-, long-term')",kilogram
Chromium VI,3.3182590849207458e-09,"('air',)",kilogram
Tin,2.1722648852128988e-09,"('soil', 'agricultural')",kilogram
Sodium dichromate,1.3751976767052292e-09,"('air', 'urban air close to ground')",kilogram
Antimony,1.1651705566372805e-09,"('water', 'surface water')",kilogram
Dichromate,8.389157049677034e-10,"('water', 'surface water')",kilogram
Antimony,8.341555742607532e-10,"('air',)",kilogram
Antimony,3.5445675315967074e-10,"('water', 'ground-')",kilogram
Antimony,8.743331718980613e-11,"('air', 'non-urban air or from high stacks')",kilogram
Cu-HDO,2.7192954135187738e-11,"('water',)",kilogram
Antimony,1.2361495274156194e-11,"('air', 'low population density, long-term')",kilogram
Copper,1.6672049320108517e-12,"('air', 'lower stratosphere + upper troposphere')",kilogram
Antimony,1.5519221644159556e-12,"('air', 'urban air close to ground')",kilogram
Antimony,1.2114693050077707e-12,"('water',)",kilogram
Silver,7.055001172959056e-13,"('soil', 'agricultural')",kilogram
Antimony,9.5721226045225e-14,"('soil',)",kilogram
Chromium IV,9.540765176103882e-14,"('air', 'urban air close to ground')",kilogram
Nickel,6.714040319654797e-14,"('air', 'lower stratosphere + upper troposphere')",kilogram
Zinc,4.207179180966458e-14,"('air', 'lower stratosphere + upper troposphere')",kilogram
"Lithium, ion",9.476385949313969e-15,"('water', 'surface water')",kilogram
Lithium,6.511773662013927e-15,"('soil',)",kilogram
Lithium,6.511773662013927e-15,"('water', 'ground-')",kilogram
Chromium,4.746896335591877e-15,"('air', 'lower stratosphere + upper troposphere')",kilogram
Antimony,9.447641057527639e-16,"('soil', 'agricultural')",kilogram
Lead,8.861571849498908e-16,"('air', 'lower stratosphere + upper troposphere')",kilogram
Lithium,1.1490286065288047e-17,"('air', 'urban air close to ground')",kilogram
