Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.12-biosphere', '0ff15165-d761-48c9-9814-2d1dcdd56857')",Lead II,"['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb']","[5.168238383359356e-07, 1.790676616211187e-08, 1.0102341138803356e-08, 4.7466812925137975e-09, 2.0843216342223762e-09, 1.3237048630267223e-09, 8.392027549723558e-10, 4.876570074171105e-10, 4.408286602853388e-10, 1.479224965813368e-10, 9.611608031448702e-11, 6.813587515777365e-11, 1.201142693639195e-13, 3.3787417542589663e-16]",5.550676367534857e-07
"('ecoinvent-3.12-biosphere', '10cbd2f7-c41b-4bb4-b636-d8fc15cf0282')",Manganese II,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[4.368327605780774e-06, 2.92085394449423e-08, 1.1200492465317252e-08, 2.176452065164836e-09, 8.769964750206656e-10, 5.529563888464538e-10, 4.5631368335235096e-10, 3.276202740667731e-10, 2.6719024555521577e-10, 8.853205538495002e-11, 2.1823955305155734e-11, 1.3894856789427909e-11]",4.4135184176905194e-06
"('ecoinvent-3.12-biosphere', '118909a7-01f4-5a9c-aa75-10d225ccc5a9')",Azinphos-methyl,['P'],[3.488483621688001e-16],3.488483621688001e-16
"('ecoinvent-3.12-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Cobalt II,"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[0.00596929382828228, 1.0459492006102991e-05, 4.405113353379248e-06, 3.068886441495257e-06, 1.7343554853171879e-06, 1.5303328526717172e-06, 5.964613150143722e-07, 2.475542372949169e-07, 7.291408459550982e-08, 7.093591210906292e-08, 6.831643921041718e-08, 4.476854801821316e-09]",0.005991552667264273
"('ecoinvent-3.12-biosphere', '140821a2-66bf-5600-9934-889cbf313c1e')",Phosphorus oxychloride,['P'],[3.1396352595191854e-16],3.1396352595191854e-16
"('ecoinvent-3.12-biosphere', '15057e97-7b47-405e-8222-6ed5cf4e0087')",Terbufos,['P'],[1.395393448675193e-16],1.395393448675193e-16
"('ecoinvent-3.12-biosphere', '153a660d-e8e6-4772-8930-ab0b29373b5c')",Lithium carbonate,['Li'],[-5.823400014601286e-11],-5.823400014601286e-11
"('ecoinvent-3.12-biosphere', '16316600-f12a-410b-8726-3faee64de60a')",Silver I,"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[0.06668750281674578, 0.0005376578613891086, 0.00023286073022878685, 0.00015392664355685324, 9.767551700899427e-05, 1.1337362037548993e-05, 6.527895600830674e-06, 5.342813212076447e-06, 4.90179858310077e-06, 6.874460613170756e-07, 3.4468236581888795e-08, -6.093956860534905e-10]",0.06773845474326529
"('ecoinvent-3.12-biosphere', '163926e2-b4cc-42bb-ba7d-401028140985')",Molybdenum VI,"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","[0.0021296400823962508, 0.0002884894382590839, 8.379439134927995e-05, 5.8847683311108025e-06, 5.438734356256969e-06, 1.7359601186931967e-06, 1.0585022869161254e-06, 1.8803661006189264e-07, 3.6045734660090154e-08, 2.4103824637210742e-08, 7.098134161971401e-09, 6.972354907684351e-09]",0.002516304133756021
"('ecoinvent-3.12-biosphere', '165b1c6b-874a-5489-81d9-7cf884ced55c')",Phosmet,['P'],[5.232725432532027e-16],5.232725432532027e-16
"('ecoinvent-3.12-biosphere', '168c970b-91c9-4427-a3a0-6686ad6cc2c4')",Tin ion,"['Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn', 'Sn']","[5.397594485698682e-06, 5.2331619447728906e-08, 3.185332343186388e-08, 1.432699112920436e-08, 6.626625726243922e-09, 5.972498479784136e-09, 4.359708950426132e-09, 4.2101028676984547e-10, 2.8967297910178125e-10, 1.9984236914696768e-10, 1.8485735983862572e-10, 0.0]",5.51416063585879e-06
"('ecoinvent-3.12-biosphere', '16addd86-288b-419a-8217-75e4197c5f9d')",Phosphorus trichloride,"['P', 'P', 'P']","[4.046641001158159e-15, 0.0, 0.0]",4.046641001158159e-15
"('ecoinvent-3.12-biosphere', '16ce8358-db19-58c9-9cee-5572ca475890')",Chlorpyrifos methyl,"['P', 'P', 'P', 'P']","[9.015637071943437e-13, 0.0, 0.0, 0.0]",9.015637071943437e-13
"('ecoinvent-3.12-biosphere', '1727b41d-377e-43cd-bc01-9eaba946eccb')",Phosphate,"['P', 'P', 'P', 'P', 'P']","[2.6943735166119835e-06, 3.2145196590800433e-07, 2.1661093709973558e-10, 5.0946861373129994e-11, 3.6280229665556065e-15]",3.0160930439464836e-06
"('ecoinvent-3.12-biosphere', '17955b10-4c04-4fff-91e7-cf89ef1a7cca')",Glyphosate,"['P', 'P', 'P', 'P', 'P', 'P', 'P']","[2.7110436507211164e-11, 5.240539636023491e-12, 1.9608417589396504e-12, 9.32820520439932e-14, 3.628022966555606e-15, 2.4419385351816418e-15, 1.0465450865063944e-16]",3.441127457022869e-11
