flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', '8099e03c-7c04-5fa2-b975-5e13e0e71f03')",Oxydisulfoton,"('soil',)",kilogram,Oxydisulfoton,C8H19O3PS3,290.4,1.810375503953219e-15,"{'C': 0.33088154269972453, 'H': 0.0659504132231405, 'O': 0.16527892561983473, 'P': 0.10665977961432507, 'S': 0.33125}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '079ff9d7-01b0-519f-80df-b07c02fcfcfb')",Dialifor,"('water',)",kilogram,Dialifor,C14H17ClNO4PS2,393.8,1.3350255112951112e-15,"{'C': 0.42700355510411375, 'H': 0.043514474352463174, 'Cl': 0.09002793296089386, 'N': 0.03556881665820213, 'O': 0.1625088877602844, 'P': 0.07865413915693245, 'S': 0.16284916201117317}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'd1b2f204-eace-55a0-bf8f-7048d286a27b')",Maneb,"('air',)",kilogram,Maneb,C4H6MnN2S4,265.3,1.3429075434148342e-14,"{'C': 0.1810931021485111, 'H': 0.02279683377308707, 'Mn': 0.20707877874104788, 'N': 0.10559366754617414, 'S': 0.4834526950621937}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Aluminium III,"('water', 'ground-, long-term')",kilogram,Aluminium,Al,26.981538,6.422536676269254e-14,{'Al': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '77927dac-dea3-429d-a434-d5a71d92c4f7')",Antimony ion,"('air',)",kilogram,Antimony,Sb,121.76,2.1834077210692158e-11,{'Sb': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', '60dd222a-8106-5765-bd90-f03fb4ebc94b')",Chlorpyrifos,"('soil', 'forestry')",kilogram,Chlorpyrifos,C9H11Cl3NO3PS,350.6,1.4995238058985018e-15,"{'C': 0.30832572732458635, 'H': 0.03162578436965203, 'Cl': 0.30336280661722764, 'N': 0.03995151169423845, 'O': 0.13689960068454077, 'P': 0.08834569309754706, 'S': 0.09145750142612663}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '60a6702f-20ad-444f-a6df-f6374f1e3183')",Tin ion,"('water', 'ground-, long-term')",kilogram,Tin,Sn,118.71,1.3268575464212294e-13,{'Sn': 1.0},1.0,dissipation
"('ecoinvent-3.12-biosphere', 'c7149490-d87c-5863-85fd-6449cde4ea55')",Etrimfos,"('water', 'surface water')",kilogram,Etrimfos,C10H17N2O4PS,292.29,1.7986692885422515e-15,"{'C': 0.41092750350679114, 'H': 0.05862670635327927, 'N': 0.09584316945499331, 'O': 0.21894693626193162, 'P': 0.10597009819015361, 'S': 0.10970269253139005}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '42c7ba35-a6f3-5866-80e9-2c4889211f08')",Dioxabenzofos,"('water', 'surface water')",kilogram,Dioxabenzofos,C8H9O3PS,216.2,2.43169771668832e-15,"{'C': 0.4444403330249769, 'H': 0.04196114708603145, 'O': 0.22200277520814063, 'P': 0.14326549491211843, 'S': 0.1483117483811286}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'bd02a7ec-dcb5-4609-bc96-cc7a96601ce2')",Glyphosate,"('air', 'non-urban air or from high stacks')",kilogram,Glyphosate,C3H8NO5P,169.07,3.1095584453067654e-15,"{'C': 0.21312474123144262, 'H': 0.04769622050038446, 'N': 0.08284734133790737, 'O': 0.4731472171289999, 'P': 0.1832022239309162}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'be71c10b-bb7b-59f4-a674-c0ae575f4c3a')",Pirimiphos-ethyl,"('water', 'surface water')",kilogram,Pirimiphos-ethyl,C13H24N3O3PS,333.39,1.5769310607637146e-15,"{'C': 0.4683493806052971, 'H': 0.0725636641770899, 'N': 0.12604157293260146, 'O': 0.1439665256906326, 'P': 0.09290620594498936, 'S': 0.09617864962956298}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'cd30f314-4eaf-5cb9-a6b2-8f02c5f063a6')",Fenthion,"('soil',)",kilogram,Fenthion,C10H15O3PS2,278.3,1.8890874823859675e-15,"{'C': 0.43158462091268407, 'H': 0.0543298598634567, 'O': 0.17246496586417534, 'P': 0.11129716133668703, 'S': 0.23043478260869563}",1.0,dissipation
"('ecoinvent-3.12-biosphere', 'ab21d751-1c33-5249-86d3-61f56f94b0ee')",Dimethylvinphos,"('soil', 'agricultural')",kilogram,Dimethylvinphos,C10H10Cl3O4P,331.5,1.5859217084404668e-15,"{'C': 0.3623227752639517, 'H': 0.030407239819004526, 'Cl': 0.32084162895927604, 'O': 0.19304977375565613, 'P': 0.09343589743589743}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '54f891b1-53b3-54eb-b774-289ea90869c4')",Butonate,"('air', 'non-urban air or from high stacks')",kilogram,Butonate,C8H14Cl3O5P,327.5,1.6052917445740908e-15,"{'C': 0.29339847328244273, 'H': 0.043090076335877865, 'Cl': 0.32476030534351147, 'O': 0.24425954198473285, 'P': 0.09457709923664122}",1.0,dissipation
"('ecoinvent-3.12-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Manganese II,"('soil', 'forestry')",kilogram,Manganese,Mn,54.93804,6.485008032108113e-14,{'Mn': 1.0},1.0,dissipation
