flow,amount,categories,unit
Zinc II,0.01451021765008939,"('soil',)",kilogram
Iron ion,0.014420850525439755,"('air', 'urban air close to ground')",kilogram
Manganese II,0.013865673408310292,"('water', 'ocean')",kilogram
Antimony ion,0.011479275692407687,"('water', 'surface water')",kilogram
Manganese II,0.011308129504539953,"('air', 'non-urban air or from high stacks')",kilogram
Silver I,0.011209384349529259,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum VI,0.010028822711931507,"('soil',)",kilogram
Phosphate,0.00938263519214421,"('water', 'ocean')",kilogram
Zinc II,0.007664912810899214,"('water',)",kilogram
Lead II,0.007035070986320818,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum VI,0.006706538341525486,"('water',)",kilogram
Nickel II,-0.0066242413601098156,"('water', 'ocean')",kilogram
Antimony ion,0.00564153160961548,"('air', 'non-urban air or from high stacks')",kilogram
Antimony ion,0.005384373242466237,"('air',)",kilogram
Cobalt II,0.005272617897293709,"('water',)",kilogram
Nickel II,0.004755796368202952,"('soil', 'industrial')",kilogram
Lead II,0.003968929345109873,"('water', 'surface water')",kilogram
Tin ion,0.003850329581629587,"('air', 'non-urban air or from high stacks')",kilogram
Manganese II,0.0037468880575600477,"('air',)",kilogram
Nickel II,0.0023796101794495467,"('soil',)",kilogram
Tin ion,0.002343627307090614,"('air',)",kilogram
Molybdenum VI,0.001974535743970305,"('soil', 'industrial')",kilogram
Molybdenum VI,0.0019398367621069228,"('water', 'ocean')",kilogram
Lead II,0.0018648393294022393,"('air', 'low population density, long-term')",kilogram
Chromium VI,0.0018246070471138079,"('water', 'ground-')",kilogram
Iron ion,0.0014370008768219665,"('air', 'non-urban air or from high stacks')",kilogram
Tin ion,0.0010541196527998709,"('water', 'surface water')",kilogram
Manganese II,0.0009236429801131243,"('water',)",kilogram
Lead II,0.0008188724871918533,"('air', 'urban air close to ground')",kilogram
Manganese II,0.0005880639790207814,"('soil',)",kilogram
Silver I,0.0005727258559449023,"('air',)",kilogram
Lead II,0.0005200469379979586,"('air',)",kilogram
Tin ion,0.00048755852225910995,"('soil', 'industrial')",kilogram
Tin ion,0.00043942975946924484,"('air', 'low population density, long-term')",kilogram
Antimony ion,0.0003351787360136778,"('air', 'low population density, long-term')",kilogram
Lead II,0.0003296994595369673,"('water',)",kilogram
Tin ion,0.0003207704633316714,"('water', 'ground-')",kilogram
Phosphorus,0.0002010963864034713,"('soil', 'agricultural')",kilogram
Lead II,0.0001915872284011293,"('soil', 'agricultural')",kilogram
Antimony ion,0.00018933435332712162,"('soil', 'industrial')",kilogram
Chromium III,0.0001791166623329883,"('air', 'non-urban air or from high stacks')",kilogram
Lead II,0.00017318957965695161,"('soil', 'industrial')",kilogram
Chromium VI,0.00016545060086249822,"('water', 'surface water')",kilogram
Copper ion,-0.00013377190711866957,"('soil', 'forestry')",kilogram
Antimony ion,0.00012229935425638622,"('water', 'ocean')",kilogram
Chromium VI,9.30735955581796e-05,"('air', 'non-urban air or from high stacks')",kilogram
Antimony ion,8.655858782687811e-05,"('air', 'urban air close to ground')",kilogram
Phosphorus,7.536418948470502e-05,"('water', 'surface water')",kilogram
Lead II,5.8114984971123184e-05,"('water', 'ground-')",kilogram
Nickel II,5.748494093456206e-05,"('soil', 'forestry')",kilogram
Chromium VI,4.005671045373322e-05,"('air', 'low population density, long-term')",kilogram
Lead II,3.776133228539387e-05,"('soil',)",kilogram
Zinc II,-3.603103728974079e-05,"('soil', 'forestry')",kilogram
Tin ion,3.0977945227786916e-05,"('soil',)",kilogram
Phosphorus,3.001856440529266e-05,"('air', 'urban air close to ground')",kilogram
Phosphorus,2.7616603082607987e-05,"('soil', 'industrial')",kilogram
Lead II,2.676879189053596e-05,"('water', 'ocean')",kilogram
Antimony ion,2.478739764102967e-05,"('soil',)",kilogram
Tin ion,2.1315070490694274e-05,"('soil', 'agricultural')",kilogram
Silver I,1.5900757249020257e-05,"('water',)",kilogram
Tin ion,1.470489332128482e-05,"('water',)",kilogram
Tin ion,1.3602663191426425e-05,"('air', 'urban air close to ground')",kilogram
Antimony ion,1.1652004990132447e-05,"('soil', 'agricultural')",kilogram
Chromium III,1.0634641002432216e-05,"('air',)",kilogram
Chromium III,9.07664146154236e-06,"('water', 'surface water')",kilogram
Chromium III,8.306743425556553e-06,"('soil', 'agricultural')",kilogram
Chromium III,6.579579222639066e-06,"('soil', 'industrial')",kilogram
Chromium VI,6.1748541301893265e-06,"('water',)",kilogram
Chromium III,5.15170916181741e-06,"('water',)",kilogram
Chromium III,3.271891212584004e-06,"('air', 'urban air close to ground')",kilogram
Lithium I,2.6694070041567128e-06,"('soil',)",kilogram
Lithium I,2.6694070041567128e-06,"('water', 'ground-')",kilogram
Phosphorus,2.595696460031219e-06,"('air', 'low population density, long-term')",kilogram
Phosphorus,1.5659144042041962e-06,"('soil',)",kilogram
Chromium VI,1.406758463173431e-06,"('air', 'urban air close to ground')",kilogram
Lithium I,-1.3956621335934283e-06,"('water',)",kilogram
Phosphate,7.630744716159433e-07,"('water',)",kilogram
Phosphorus,7.114121808258255e-07,"('water',)",kilogram
Antimony ion,6.235078200122119e-07,"('water',)",kilogram
Phosphorus,3.8816013668357975e-07,"('water', 'ground-')",kilogram
Chromium III,3.195681383492184e-07,"('soil',)",kilogram
Chromium VI,2.4297499719359524e-07,"('air',)",kilogram
Phosphorus,1.6089333889520323e-07,"('air', 'non-urban air or from high stacks')",kilogram
Chromium III,1.5901871234039964e-07,"('water', 'ocean')",kilogram
Glyphosate,1.0140933173215638e-07,"('soil', 'agricultural')",kilogram
Chromium III,7.99717809380349e-08,"('water', 'ground-')",kilogram
Uranium,6.135369769289691e-08,"('air', 'urban air close to ground')",kilogram
Phosphorus,5.8568615806646866e-08,"('water', 'ocean')",kilogram
Lead II,4.717620831992753e-08,"('soil', 'forestry')",kilogram
Lithium I,4.077317189983644e-08,"('air', 'urban air close to ground')",kilogram
Phosphorus,4.036070056300889e-08,"('air',)",kilogram
Glyphosate,1.9602195555223504e-08,"('soil', 'industrial')",kilogram
Chromium III,9.267987493886973e-09,"('soil', 'forestry')",kilogram
Glyphosate,7.3347386712167015e-09,"('air', 'non-urban air or from high stacks')",kilogram
Copper ion,3.759658271697554e-09,"('air', 'lower stratosphere + upper troposphere')",kilogram
Zinc II,1.8142892182967338e-09,"('air', 'lower stratosphere + upper troposphere')",kilogram
Mancozeb,1.7872830682255804e-09,"('soil', 'agricultural')",kilogram
Uranium,6.231987374081506e-10,"('air', 'non-urban air or from high stacks')",kilogram
Mancozeb,5.737726578558033e-10,"('air', 'non-urban air or from high stacks')",kilogram
Glyphosate,3.483604328499622e-10,"('soil', 'forestry')",kilogram
Chromium III,3.0016521730353236e-10,"('air', 'low population density, long-term')",kilogram
Lead II,2.7864084425818683e-10,"('air', 'lower stratosphere + upper troposphere')",kilogram
Acephate,2.2792504023701404e-10,"('soil', 'agricultural')",kilogram
Sodium dichromate,2.2768895838151193e-10,"('air', 'urban air close to ground')",kilogram
Chlorpyrifos methyl,1.6865014107224231e-10,"('soil', 'agricultural')",kilogram
Nickel II,1.5201711885896018e-10,"('air', 'lower stratosphere + upper troposphere')",kilogram
Chromium VI,1.1271810813970682e-10,"('soil',)",kilogram
