flow,amount,categories,unit
"Arsenic, ion",5088574.561903947,"('water', 'ground-')",kilogram
Iron,5026195.6387059465,"('soil', 'industrial')",kilogram
Sodium,4746962.547666729,"('soil', 'industrial')",kilogram
Lead,4579541.24069202,"('water', 'ground-, long-term')",kilogram
Magnesium,4375648.802658292,"('air', 'urban air close to ground')",kilogram
Nickel,4172262.0439792112,"('air', 'urban air close to ground')",kilogram
"Iron, ion",4127700.071087054,"('water', 'surface water')",kilogram
Iron,3774855.5790003394,"('soil', 'agricultural')",kilogram
Hydrogen fluoride,3569246.691966021,"('air', 'urban air close to ground')",kilogram
Antimony,3476054.403316917,"('water', 'surface water')",kilogram
Barium,3435993.903372264,"('water',)",kilogram
Selenium,3416885.255185307,"('water',)",kilogram
Copper,3146649.2235017936,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,3092290.189305288,"('water', 'ground-')",kilogram
Fluoride,2911093.663082659,"('water', 'ocean')",kilogram
Cobalt,2895774.9679833087,"('water', 'surface water')",kilogram
Manganese,2854507.740628175,"('soil', 'agricultural')",kilogram
Barium,2652714.36487233,"('soil', 'industrial')",kilogram
Tungsten,2592544.970067253,"('air', 'low population density, long-term')",kilogram
Cadmium,2520844.487453639,"('air', 'urban air close to ground')",kilogram
Antimony,2488537.099091052,"('air',)",kilogram
Arsenic,2481789.763230146,"('air', 'non-urban air or from high stacks')",kilogram
Fluoride,2429328.061726906,"('soil', 'industrial')",kilogram
Barite,2290142.896896591,"('water',)",kilogram
Nickel,2134156.9478009124,"('air', 'non-urban air or from high stacks')",kilogram
Copper,2134127.264160262,"('air', 'low population density, long-term')",kilogram
Mercury,1891389.2121372025,"('air', 'urban air close to ground')",kilogram
Arsenic,1829521.468073735,"('air', 'low population density, long-term')",kilogram
Cobalt,1753947.8107705396,"('soil', 'agricultural')",kilogram
Sodium,1713341.2583360365,"('air', 'urban air close to ground')",kilogram
Chromium VI,1696380.745681016,"('water', 'ground-, long-term')",kilogram
Mercury,1681367.8883124343,"('air', 'low population density, long-term')",kilogram
Calcium,1678543.1748567494,"('soil', 'industrial')",kilogram
Copper,1521631.5249900823,"('air', 'urban air close to ground')",kilogram
Strontium,1466981.8105331906,"('water', 'surface water')",kilogram
"Nickel, ion",1437023.564268339,"('water', 'ground-')",kilogram
