Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral,xm_Mineral,ERC,CF2
"Phosphorus, 18% in apatite, 12% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'a64e65fe-3c33-44f1-bd2d-ab7fac07653f')",P,1.3744963405519043e-10,1.3744963405519043e-10,0.12,2.0368039504669003e-15,2.0368039504669003e-15,parsed_crude_ore,Apatite,0.3532544378698225,4.855469321357911e-11,0.0423905325443787,7.195100345732187e-16,0.44572664377524784,0.44572664372669313,0.9,3.505346977507905e-11,3.505346977507905e-11
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')",Ni,1.2478452230949262e-10,1.049547821680791e-10,0.023,2.0853505883509992e-15,2.479348455018202e-15,parsed_crude_ore_multi,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,3.0795862605433756e-10,0.06748666666666667,6.1188417408339604e-15,0.010558917414268303,0.010558917106309677,0.0803628113054402,2.4415247040219275e-08,2.4415247040219275e-08
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')",Cu,1.2478452230949262e-10,1.9829740141413537e-11,0.032,3.939978666672029e-16,2.479348455018202e-15,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,5.709597592441484e-11,0.09213793103448277,1.1344421333348773e-15,0.01286923124177145,0.012869231184675475,0.8086409056778144,3.32453425407513e-08,3.32453425407513e-08
"Zinc, Zn 0.63%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'f8f1ba14-9934-4678-8a78-e2cf1fce7775')",Zn,1.1215324073909684e-10,1.1215324073909684e-10,0.0063,6.827043349798209e-16,6.827043349798209e-16,parsed_crude_ore_multi,Sphalerite,1.4901477832512315,1.6712490307180688e-10,0.009387931034482759,1.0173303513861862e-15,0.21288117798323605,0.21288117781611116,0.789865871833085,7.403685747782803e-10,7.403685747782803e-10
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')",Ni,7.937310624543687e-11,6.98831324589401e-11,0.0076,6.89072368324678e-16,7.826468616581387e-16,parsed_crude_ore_multi,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,2.0505128982082626e-10,0.022299942028985505,2.0218781404494827e-15,0.010558917414268303,0.010558917209217013,0.0803628113054402,1.6256656706352558e-08,1.6256656706352558e-08
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')",Cu,7.937310624543687e-11,9.489973786496768e-12,0.0076,9.357449333346067e-17,7.826468616581387e-16,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,2.7324579695602762e-11,0.021882758620689655,2.694300066670333e-16,0.01286923124177145,0.01286923121444687,0.8086409056778144,1.5910315386340855e-08,1.5910315386340855e-08
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Cu,7.745380802171766e-11,7.305824372230948e-11,0.0183,2.2531753000030665e-16,2.3887380565709124e-16,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,2.1035735692458075e-10,0.05269137931034483,6.48759095000883e-16,0.01286923124177145,0.012869231031414094,0.8086409056778144,1.2248510258331962e-07,1.2248510258331962e-07
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Mo,7.745380802171766e-11,4.3955642994081805e-12,8.2e-05,1.3556275656784592e-17,2.3887380565709124e-16,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,7.340592380011664e-12,0.00013694000000000003,2.2638980346830273e-17,0.0023389070923680233,0.0023389070850274307,0.9176761103880936,6.333697142077863e-08,6.333697142077863e-08
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Cu,7.581547777348502e-11,5.91239726612142e-11,0.0039000000000000003,4.801849000006535e-17,6.157476565684994e-17,parsed_crude_ore_multi,Chalcopyrite,2.8793103448275863,1.7023626611073746e-10,0.011229310344827588,1.3826013500018817e-16,0.01286923124177145,0.012869231071535184,0.8086409056778144,9.912370510723777e-08,9.912370510723777e-08
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Mo,7.581547777348502e-11,1.6691505112270816e-11,8.2e-05,1.3556275656784592e-17,6.157476565684994e-17,parsed_crude_ore_multi,Molybdenite,1.6700000000000004,2.7874813537492268e-11,0.00013694000000000003,2.2638980346830273e-17,0.0023389070923680233,0.0023389070644932097,0.9176761103880936,2.405121411787198e-07,2.405121411787198e-07
