Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Cu,7.745380802171766e-11,7.305824372230948e-11,0.0183,2.2531753000030665e-16,2.3887380565709124e-16,parsed_crude_ore_multi
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Mo,7.745380802171766e-11,4.3955642994081805e-12,8.2e-05,1.3556275656784592e-17,2.3887380565709124e-16,parsed_crude_ore_multi
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Cu,7.581547777348502e-11,5.91239726612142e-11,0.0039000000000000003,4.801849000006535e-17,6.157476565684994e-17,parsed_crude_ore_multi
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Mo,7.581547777348502e-11,1.6691505112270816e-11,8.2e-05,1.3556275656784592e-17,6.157476565684994e-17,parsed_crude_ore_multi
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Cu,6.596109550557157e-11,5.051239485345601e-11,0.0036,4.432476000006032e-17,5.788103565684491e-17,parsed_crude_ore_multi
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Mo,6.596109550557157e-11,1.544870065211555e-11,8.2e-05,1.3556275656784592e-17,5.788103565684491e-17,parsed_crude_ore_multi
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Cu,6.372912461053813e-11,2.5197354905049116e-11,0.0036,4.432476000006032e-17,1.1210613828398327e-16,parsed_crude_ore_multi
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Mo,6.372912461053813e-11,3.8531769705489014e-11,0.00041,6.778137828392296e-17,1.1210613828398327e-16,parsed_crude_ore_multi
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Cu,5.350390310573124e-11,3.800569688228111e-11,0.0027,3.3243570000045246e-17,4.6799845656829836e-17,parsed_crude_ore_multi
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Mo,5.350390310573124e-11,1.5498206223450134e-11,8.2e-05,1.3556275656784592e-17,4.6799845656829836e-17,parsed_crude_ore_multi
"Copper, Cu 0.38%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')",Cu,4.9058530200543207e-11,4.9058530200543207e-11,0.0038,4.678724666673034e-17,4.678724666673034e-17,parsed_crude_ore_multi
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Cu,4.082004496563243e-11,4.880508965966562e-12,0.0076,9.357449333346067e-17,7.826468616581387e-16,parsed_crude_ore_multi
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Ni,4.082004496563243e-11,3.593953599966587e-11,0.0076,6.89072368324678e-16,7.826468616581387e-16,parsed_crude_ore_multi
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Cu,3.88435726715164e-11,2.5887687783457448e-11,0.0022,2.70873533333702e-17,4.064362899015479e-17,parsed_crude_ore_multi
