Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
Manganese II,"('ecoinvent-3.12-biosphere', '6b7fbea6-4a86-40f9-954d-3c9b3611abfd')",Mn,2.0373542056559661e-10,2.0373542056559661e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Mn,2.0373542056559661e-10,2.0373542056559661e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '44f28e11-061d-44fd-8f25-dc62a9f1fa57')",Mn,2.0373542056559661e-10,2.0373542056559661e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '9ba8c05d-1593-45a5-8d3b-5c4f3e9fef32')",Mn,2.0373542056559661e-10,2.0373542056559661e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', 'c91fd4bf-ed70-4e2f-a34f-159773f981b6')",Mn,2.0373542056559661e-10,2.0373542056559661e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', 'f532985c-90b7-46fc-aac9-b039b40e22f1')",Mn,2.0373542056559661e-10,2.0373542056559661e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Manganese II,"('ecoinvent-3.12-biosphere', '0af26a55-d357-469f-abad-8ced785cb4fb')",Mn,2.0373542056559661e-10,2.0373542056559661e-10,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', 'e34d3da4-a3d5-41be-84b5-458afe32c990')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', '30f484ee-dec4-47ae-8e92-d00d4b93fe05')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
Chromium III,"('ecoinvent-3.12-biosphere', 'e65a9c58-21f1-48b6-b738-d05a8f10e5f3')",Cr,1.9266892078236876e-10,1.9266892078236876e-10,1.0,3.1278613038877847e-13,3.1278613038877847e-13,dissipation
