Flow Key,Flow Name,Cleaned Name,Molecular Formula,Molecular Weight,CF1,composition,grade_source
"('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground",multi_element_ore,multi,,2.3887380565709124e-16,"{'Mo': 8.2e-05, 'Cu': 0.0183}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '14946240-b1ee-412c-b900-ed5728a4e684')","Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore, in ground",multi_element_ore,multi,,1.8842352792450605e-19,{'Ag': 1.2e-06},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '4f5aad55-54d2-4628-a509-b28ef1929bb4')","Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore, in ground",multi_element_ore,multi,,2.3552940990563253e-19,"{'Au': 6.8e-06, 'Ag': 1.4999999999999998e-06}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')","Cobalt, Co 5.0E-2%, in mixed ore, in ground",multi_element_ore,multi,,9.723747574226973e-16,{'Co': 0.0005},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'd02343bd-b00d-4fb3-9bda-2e8183f3b012')","Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground",multi_element_ore,multi,,3.2974117386788564e-19,"{'Ag': 2.1000000000000002e-06, 'Au': 2.1000000000000002e-06}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')","Uranium, in ground",Uranium,U,238.0289,2.9111115633007054e-14,{'U': 0.00318},valero_fallback
"('ecoinvent-3.4-biosphere', '5514ccd2-469f-4074-9905-529154e7f742')","Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground",multi_element_ore,multi,,1.1328698565692033e-16,"{'Mo': 8.2e-05, 'Cu': 0.008100000000000001}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')","Cobalt, in ground",Cobalt,Co,58.93319,3.695024078206249e-15,{'Co': 0.0019},valero_fallback
"('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')","Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground",multi_element_ore,multi,,2.3887380565709124e-16,"{'Cu': 0.0183, 'Mo': 8.2e-05}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '704399e3-cf6b-483d-84f5-466e91a9d17c')","Copper, Cu 0.2%, in mixed ore, in ground",multi_element_ore,multi,,2.462486666670018e-17,{'Cu': 0.002},parsed_crude_ore_multi
