flow,amount,categories,unit
Beryllium,14305498.063432403,"('water', 'ground-, long-term')",kilogram
Selenium,13640762.35528346,"('air',)",kilogram
Selenium,13495065.749486443,"('soil',)",kilogram
Cobalt,13331276.38404186,"('water', 'ground-')",kilogram
"Vanadium, ion",12242681.366922932,"('water', 'surface water')",kilogram
Magnesium,11703279.042448014,"('air', 'low population density, long-term')",kilogram
"Silver, ion",10466738.203635808,"('water',)",kilogram
Mercury,10304355.315505024,"('air',)",kilogram
"Tin, ion",10131128.141461845,"('water', 'ground-, long-term')",kilogram
Propane,9706133.381714964,"('air', 'non-urban air or from high stacks')",kilogram
Phosphate,9483011.779660042,"('water', 'ground-, long-term')",kilogram
Carbon,8636050.21338086,"('soil', 'industrial')",kilogram
Aluminium,8017960.935342941,"('water',)",kilogram
Calcium,7606750.744437663,"('soil', 'agricultural')",kilogram
Cobalt,7555263.393295529,"('air', 'low population density, long-term')",kilogram
Iron,7399567.389168618,"('soil',)",kilogram
Vanadium,6980281.07394779,"('air', 'non-urban air or from high stacks')",kilogram
Tungsten,6876587.590420139,"('water', 'ground-')",kilogram
"Calcium, ion",6534970.162406879,"('water',)",kilogram
Barium,6431978.02624755,"('water', 'surface water')",kilogram
Pentane,5885046.931930025,"('air', 'non-urban air or from high stacks')",kilogram
Cadmium,5771706.547554073,"('air', 'non-urban air or from high stacks')",kilogram
Vanadium,5672931.100690044,"('air', 'low population density, long-term')",kilogram
"Arsenic, ion",5088574.561903947,"('water', 'ground-')",kilogram
Iron,5026195.638705946,"('soil', 'industrial')",kilogram
Pentane,4852726.730633394,"('air', 'urban air close to ground')",kilogram
Butane,4777967.215710654,"('air', 'non-urban air or from high stacks')",kilogram
Sodium,4746962.5476667285,"('soil', 'industrial')",kilogram
Lead,4579541.240692019,"('water', 'ground-, long-term')",kilogram
Benzene,4399707.5234449105,"('air', 'non-urban air or from high stacks')",kilogram
Magnesium,4375648.802658293,"('air', 'urban air close to ground')",kilogram
Scandium,4333563.109948417,"('water', 'surface water')",kilogram
Nickel,4172262.0439792112,"('air', 'urban air close to ground')",kilogram
"Iron, ion",4127700.071087054,"('water', 'surface water')",kilogram
Propane,3878729.4375705323,"('air', 'urban air close to ground')",kilogram
Butane,3802265.027738572,"('air', 'urban air close to ground')",kilogram
Iron,3774855.5790003394,"('soil', 'agricultural')",kilogram
Antimony,3476054.403316917,"('water', 'surface water')",kilogram
Barium,3435993.9033722654,"('water',)",kilogram
Selenium,3416885.255185308,"('water',)",kilogram
Hexane,3224714.2089873073,"('air', 'non-urban air or from high stacks')",kilogram
Copper,3146649.223501794,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,3092290.189305288,"('water', 'ground-')",kilogram
Cobalt,2895774.9679833087,"('water', 'surface water')",kilogram
Manganese,2854507.740628175,"('soil', 'agricultural')",kilogram
Barium,2652714.3648723294,"('soil', 'industrial')",kilogram
Tungsten,2592544.970067253,"('air', 'low population density, long-term')",kilogram
Cadmium,2520844.487453639,"('air', 'urban air close to ground')",kilogram
Carbon,2501519.926040793,"('soil', 'agricultural')",kilogram
Antimony,2488537.099091053,"('air',)",kilogram
Arsenic,2481789.7632301464,"('air', 'non-urban air or from high stacks')",kilogram
"Carbon dioxide, from soil or biomass stock",2319813.278387507,"('air',)",kilogram
Barite,2290142.896896591,"('water',)",kilogram
Nickel,2134156.9478009124,"('air', 'non-urban air or from high stacks')",kilogram
Copper,2134127.264160262,"('air', 'low population density, long-term')",kilogram
Hexane,1945570.9032690527,"('air', 'urban air close to ground')",kilogram
"Carbon monoxide, non-fossil",1929295.2973043558,"('air', 'non-urban air or from high stacks')",kilogram
Mercury,1891389.2121372025,"('air', 'urban air close to ground')",kilogram
Arsenic,1829521.4680737352,"('air', 'low population density, long-term')",kilogram
Cobalt,1753947.8107705396,"('soil', 'agricultural')",kilogram
Toluene,1734211.8529341684,"('air', 'non-urban air or from high stacks')",kilogram
Sodium,1713341.2583360365,"('air', 'urban air close to ground')",kilogram
Chromium VI,1696380.745681016,"('water', 'ground-, long-term')",kilogram
Mercury,1681367.8883124345,"('air', 'low population density, long-term')",kilogram
Calcium,1678543.174856749,"('soil', 'industrial')",kilogram
Copper,1521631.5249900823,"('air', 'urban air close to ground')",kilogram
Strontium,1466981.8105331906,"('water', 'surface water')",kilogram
"Nickel, ion",1437023.564268339,"('water', 'ground-')",kilogram
"Calcium, ion",1383588.6823767703,"('water', 'ocean')",kilogram
Molybdenum,1363644.1757562715,"('air', 'low population density, long-term')",kilogram
Benzene,1355240.9733819326,"('air', 'urban air close to ground')",kilogram
"DOC, Dissolved Organic Carbon",1335774.805345723,"('water',)",kilogram
Phosphate,1319796.9664769592,"('water', 'ground-')",kilogram
"Silver, ion",1262641.8506505315,"('water', 'surface water')",kilogram
Mercury,1215270.6721025298,"('water', 'surface water')",kilogram
"Iron, ion",1205587.260199612,"('water',)",kilogram
"Cadmium, ion",1147649.7279572454,"('water', 'surface water')",kilogram
Silicon,1141591.620347427,"('water', 'surface water')",kilogram
