Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total
Cobalt,"('ecoinvent-3.4-biosphere', 'f0d1c319-249f-4a89-b0e7-3a5a90a54036')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', '74eb3f02-09ec-46ce-8ee8-d67d0900136b')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', '9542444c-7c7a-48e2-bc9c-9c7c34fb7b3e')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', '9ce88274-57b6-42ed-a78b-4abef2301865')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', '33627701-feca-434d-a192-674a450eaaf7')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', 'd4291dd5-dae8-47fa-bf06-466fcecbc210')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', 'b10faa87-2c1d-4f6e-aa65-9f80b376939a')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', '381a22c9-3722-4378-810d-86958f7b6d32')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', 'caf066cf-40ce-47a8-ba4c-969fcd6019c7')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', 'ca04300a-8338-4601-ba7c-66c10a4f6322')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', 'f0e28a62-ddf9-4c93-af81-676a58c3f2d4')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Cobalt,"('ecoinvent-3.4-biosphere', '1e904267-caa3-40e6-a3a0-fc104489770b')",Co,1.227661371249412e-06,1.227661371249412e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12
Antimony,"('ecoinvent-3.4-biosphere', '2b2369a4-26bb-4b18-8479-752fdf7a5e7f')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '3ea5684a-6d64-4f96-8c09-1d90f997c9d4')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '183f9856-03ab-464d-9366-8ef62077b510')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '5df5cb9f-812c-4ce8-ab1c-df6ab4d31900')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '7805afa2-d93b-40bb-b841-325b98aec824')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', 'c49fb4cd-eed0-4438-9052-9612473cdbae')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', 'fa39136e-1ef6-43c1-af68-104da104568d')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '77927dac-dea3-429d-a434-d5a71d92c4f7')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', 'f4cf8d5c-f030-4b55-a3af-e3c20b855ee8')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '49803ad0-9ca2-4507-a5ea-f152d16c929d')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '34b96163-a3df-4bc1-8224-e2a9fe01b23f')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '43b29ad9-26dd-4838-b931-6216e55a0120')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', '83cf77ca-867b-4eef-b0f0-78d71b3d91d5')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
Antimony,"('ecoinvent-3.4-biosphere', 'b2dc8668-86de-4207-b20e-dc81dea63c98')",Sb,6.961775462414397e-07,6.961775462414397e-07,1.0,2.1834077210692158e-11,2.1834077210692158e-11
"Iron, ion","('ecoinvent-3.4-biosphere', '7c335b9c-a403-47a8-bb6d-2e7d3c3a230e')",Fe,6.49716314154239e-07,6.49716314154239e-07,1.0,9.645225823667623e-15,9.645225823667623e-15
"Iron, ion","('ecoinvent-3.4-biosphere', 'de444dc0-5964-4501-8367-50ba53bfc6b9')",Fe,6.49716314154239e-07,6.49716314154239e-07,1.0,9.645225823667623e-15,9.645225823667623e-15
"Iron, ion","('ecoinvent-3.4-biosphere', '9b6d6f07-ebc6-447d-a3c0-f2017d77d852')",Fe,6.49716314154239e-07,6.49716314154239e-07,1.0,9.645225823667623e-15,9.645225823667623e-15
"Iron, ion","('ecoinvent-3.4-biosphere', '33fd8342-58e7-45c9-ad92-0951c002c403')",Fe,6.49716314154239e-07,6.49716314154239e-07,1.0,9.645225823667623e-15,9.645225823667623e-15
"Iron, ion","('ecoinvent-3.4-biosphere', '2c9a7182-37c8-4777-a37a-9a007c3edb2f')",Fe,6.49716314154239e-07,6.49716314154239e-07,1.0,9.645225823667623e-15,9.645225823667623e-15
