flow,amount,categories,unit
Zinc,0.001574149140111292,"('air', 'urban air close to ground')",kilogram
Iron,0.0015626693280910166,"('air', 'urban air close to ground')",kilogram
Zinc,0.0014796277091833092,"('soil', 'agricultural')",kilogram
Copper,0.0014142135114380194,"('air',)",kilogram
Manganese,0.0012588655906823252,"('air',)",kilogram
Lead,0.0011461448896897047,"('air', 'urban air close to ground')",kilogram
Nickel,0.0010910527570914515,"('air', 'low population density, long-term')",kilogram
Antimony,0.0008607818285475402,"('air', 'low population density, long-term')",kilogram
Iron,0.0006963928333419341,"('air',)",kilogram
Copper,0.0006946079492348082,"('soil', 'agricultural')",kilogram
Chromium,0.0006735803182714483,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,0.0005519592998759101,"('air', 'low population density, long-term')",kilogram
Zinc,0.0005292654450528056,"('air',)",kilogram
Phosphorus,0.0005017470780347019,"('soil', 'agricultural')",kilogram
Lead,0.000497708748931598,"('air',)",kilogram
Chromium VI,0.000461170388356901,"('water', 'ground-')",kilogram
"Tin, ion",0.00039131833767066214,"('water', 'surface water')",kilogram
Nickel,0.0003436715615820856,"('soil', 'agricultural')",kilogram
Zinc,0.0002256547433703516,"('soil',)",kilogram
Zinc,0.00022385359507886207,"('soil', 'industrial')",kilogram
Chromium VI,0.0001607872554379734,"('air', 'non-urban air or from high stacks')",kilogram
Lead,0.00015962422363475278,"('water',)",kilogram
Nickel,0.0001590474386361973,"('air',)",kilogram
Lead,0.00015592953078762413,"('water', 'ocean')",kilogram
Lead,0.00014648339574468123,"('soil', 'agricultural')",kilogram
Silver,0.00014137619630033663,"('air', 'urban air close to ground')",kilogram
"Tin, ion",0.00013461555498828296,"('water',)",kilogram
"Lithium, ion",0.0001313751830276652,"('water', 'surface water')",kilogram
Copper,0.00010938682760961872,"('soil',)",kilogram
Antimony,0.00010806673212441198,"('air', 'urban air close to ground')",kilogram
Antimony,8.435959731942615e-05,"('water',)",kilogram
Phosphorus,7.598738680494834e-05,"('air', 'urban air close to ground')",kilogram
Chromium VI,6.70438462402841e-05,"('air', 'low population density, long-term')",kilogram
"Tin, ion",4.689696904431327e-05,"('water', 'ground-')",kilogram
Tin,4.355153111780114e-05,"('air', 'non-urban air or from high stacks')",kilogram
Phosphorus,4.0482066803465974e-05,"('soil', 'industrial')",kilogram
Manganese,3.652307862119166e-05,"('soil',)",kilogram
Chromium VI,3.4460036665487004e-05,"('soil',)",kilogram
Tin,3.149215886059122e-05,"('air',)",kilogram
Iron,2.7302721010890326e-05,"('water', 'ground-')",kilogram
Chromium,2.652623461726479e-05,"('soil', 'agricultural')",kilogram
Phosphorus,2.481608958629758e-05,"('water', 'surface water')",kilogram
Iron,2.4568002066830366e-05,"('air', 'non-urban air or from high stacks')",kilogram
