flow,amount,categories,unit
Potassium,16091701.280007977,"('soil', 'industrial')",kilogram
Arsenic,14557937.840625329,"('air', 'non-urban air or from high stacks')",kilogram
Mercury,14478248.91583534,"('air',)",kilogram
"Methane, fossil",14138399.151474,"('air', 'urban air close to ground')",kilogram
"Calcium, ion",13847290.217418019,"('water', 'surface water')",kilogram
Nickel,13772575.883020304,"('air', 'non-urban air or from high stacks')",kilogram
"Vanadium, ion",13145718.48289044,"('water', 'surface water')",kilogram
Benzene,13049696.227281963,"('air', 'non-urban air or from high stacks')",kilogram
"Methane, non-fossil",12963870.07084374,"('air', 'non-urban air or from high stacks')",kilogram
Potassium,12225275.84077589,"('air', 'low population density, long-term')",kilogram
Ethane,12166630.673508706,"('air', 'non-urban air or from high stacks')",kilogram
Aluminium,11001865.447422408,"('soil', 'agricultural')",kilogram
Copper,10546141.089801583,"('air', 'non-urban air or from high stacks')",kilogram
Tungsten,10509524.065613596,"('water', 'ground-')",kilogram
"DOC, Dissolved Organic Carbon",10395272.972505715,"('water', 'ocean')",kilogram
Magnesium,10237138.750858584,"('air', 'urban air close to ground')",kilogram
"Nickel, ion",9799781.674312796,"('water', 'ground-')",kilogram
Chromium VI,9613852.646877848,"('water', 'ground-, long-term')",kilogram
Antimony,9333591.965495555,"('air',)",kilogram
Lead,9302911.422803398,"('water', 'ground-, long-term')",kilogram
Pentane,8539757.55080638,"('air', 'non-urban air or from high stacks')",kilogram
Barium,8343975.12454799,"('air', 'non-urban air or from high stacks')",kilogram
Silicon,8143679.570470387,"('water', 'surface water')",kilogram
Aluminium,8134649.189170794,"('water', 'ocean')",kilogram
Cobalt,7728058.49511918,"('air', 'urban air close to ground')",kilogram
Phosphate,7723376.607876708,"('water', 'ground-')",kilogram
Magnesium,7522135.889931181,"('soil', 'industrial')",kilogram
"Carbon monoxide, non-fossil",7286986.677337279,"('air', 'urban air close to ground')",kilogram
Barite,7140224.790051414,"('water', 'ocean')",kilogram
"DOC, Dissolved Organic Carbon",6494520.137637132,"('water',)",kilogram
Strontium,5916954.043249991,"('water', 'ground-')",kilogram
"Cadmium, ion",5650971.322086945,"('water', 'ground-')",kilogram
"Arsenic, ion",5557691.077255534,"('water', 'ground-')",kilogram
Thallium,5392151.546123805,"('water', 'surface water')",kilogram
Toluene,5198413.261490279,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,4912097.222757884,"('water', 'surface water')",kilogram
Lead,4897708.96038265,"('air', 'non-urban air or from high stacks')",kilogram
Propane,4884481.290720356,"('air', 'non-urban air or from high stacks')",kilogram
"Iron, ion",4305299.642042474,"('water',)",kilogram
Carbon,4239773.0763935605,"('soil', 'industrial')",kilogram
"Silver, ion",3865675.4117012103,"('water', 'ground-')",kilogram
Zinc,3722651.355568577,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum,3609205.8012519865,"('air', 'non-urban air or from high stacks')",kilogram
Mercury,3560183.4833218143,"('water', 'ground-')",kilogram
Magnesium,3467479.990874155,"('soil', 'agricultural')",kilogram
Silicon,3226414.96097278,"('water', 'ground-')",kilogram
Copper,3187017.239249988,"('air',)",kilogram
Butane,3059896.599326107,"('air', 'non-urban air or from high stacks')",kilogram
Barite,3014259.1778954514,"('water',)",kilogram
Barium,2932659.2737560463,"('water', 'surface water')",kilogram
Iron,2488941.848554541,"('soil', 'industrial')",kilogram
Sodium,2350667.3014126215,"('soil', 'industrial')",kilogram
Pentane,2279752.896133727,"('air', 'urban air close to ground')",kilogram
"Carbon dioxide, from soil or biomass stock",2275640.9709153795,"('air',)",kilogram
Iron,2103866.976009054,"('air', 'low population density, long-term')",kilogram
Propane,2075677.6132373442,"('air', 'urban air close to ground')",kilogram
Antimony,2068450.9016442203,"('air', 'non-urban air or from high stacks')",kilogram
Hexane,2002078.5706097153,"('air', 'non-urban air or from high stacks')",kilogram
"Calcium, ion",1995705.7889014962,"('water', 'ocean')",kilogram
Mercury,1994898.4829563738,"('air', 'urban air close to ground')",kilogram
Manganese,1955268.4899555142,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum,1788758.6610858217,"('air',)",kilogram
Butane,1780749.6674683888,"('air', 'urban air close to ground')",kilogram
"Zinc, ion",1734726.8457675348,"('water', 'ground-')",kilogram
"Vanadium, ion",1684716.9533455893,"('water', 'ground-')",kilogram
