flow,amount,categories,unit
Zinc II,58002.231143563135,"('air',)",kilogram
Iron ion,55635.20515289789,"('air', 'urban air close to ground')",kilogram
Chromium VI,54902.79648598759,"('water', 'ground-')",kilogram
Lead II,54584.84774213307,"('air', 'urban air close to ground')",kilogram
Nickel II,52229.00161207031,"('soil', 'agricultural')",kilogram
Manganese II,50266.19247784104,"('water', 'ocean')",kilogram
Zinc II,50221.34775199715,"('soil',)",kilogram
Copper ion,48311.25201261299,"('soil',)",kilogram
Manganese II,40994.51916261651,"('air', 'non-urban air or from high stacks')",kilogram
Tin ion,37666.6463496527,"('soil', 'industrial')",kilogram
Lead II,34665.57171401265,"('air',)",kilogram
Tin ion,33948.42791127466,"('air', 'low population density, long-term')",kilogram
Zinc II,26529.047395959366,"('water',)",kilogram
Tin ion,24781.327881921865,"('water', 'ground-')",kilogram
Lead II,21977.28594009107,"('water',)",kilogram
Silver I,20089.994848700346,"('soil', 'industrial')",kilogram
Molybdenum VI,18878.072176022382,"('soil', 'agricultural')",kilogram
Phosphorus,17043.619039932488,"('soil', 'agricultural')",kilogram
Antimony ion,16023.32612633756,"('air', 'low population density, long-term')",kilogram
Manganese II,13583.314040943444,"('air',)",kilogram
Lead II,12770.925699891995,"('soil', 'agricultural')",kilogram
Nickel II,-12761.817155855948,"('water', 'ocean')",kilogram
Silver I,11566.565782064199,"('soil', 'agricultural')",kilogram
Lead II,11544.565221036506,"('soil', 'industrial')",kilogram
Cobalt II,9592.094063986668,"('water',)",kilogram
Silver I,9465.774353271621,"('air', 'urban air close to ground')",kilogram
Nickel II,9162.196904081962,"('soil', 'industrial')",kilogram
Antimony ion,9051.189005485998,"('soil', 'industrial')",kilogram
Silver I,8684.670419187269,"('soil',)",kilogram
Phosphorus,6387.377504901929,"('water', 'surface water')",kilogram
Chromium III,6357.782892322824,"('air',)",kilogram
Antimony ion,5846.559544906805,"('water', 'ocean')",kilogram
Iron ion,5543.905919130679,"('air', 'non-urban air or from high stacks')",kilogram
Chromium III,5426.352971458463,"('water', 'surface water')",kilogram
Chromium VI,4978.442170332972,"('water', 'surface water')",kilogram
Chromium III,4966.07936552254,"('soil', 'agricultural')",kilogram
Nickel II,4584.396666948324,"('soil',)",kilogram
Antimony ion,4137.960833317009,"('air', 'urban air close to ground')",kilogram
Chromium III,3933.516534390791,"('soil', 'industrial')",kilogram
Lead II,3873.860284479063,"('water', 'ground-')",kilogram
Molybdenum VI,3618.867396688439,"('soil',)",kilogram
Manganese II,3348.414061977452,"('water',)",kilogram
Chromium III,3079.8828439751333,"('water',)",kilogram
Chromium VI,2800.603386484194,"('air', 'non-urban air or from high stacks')",kilogram
Phosphorus,2544.1778691288014,"('air', 'urban air close to ground')",kilogram
Lead II,2517.115430763523,"('soil',)",kilogram
Molybdenum VI,2420.032106052977,"('water',)",kilogram
Tin ion,2393.22102734952,"('soil',)",kilogram
Phosphorus,2340.6032825106536,"('soil', 'industrial')",kilogram
Manganese II,2131.8645181003085,"('soil',)",kilogram
Chromium III,1956.0579404749444,"('air', 'urban air close to ground')",kilogram
Lead II,1784.3686928553686,"('water', 'ocean')",kilogram
Tin ion,1646.7094419164325,"('soil', 'agricultural')",kilogram
Phosphate,1509.79033772021,"('water', 'surface water')",kilogram
Silver I,1219.5903708873493,"('air', 'non-urban air or from high stacks')",kilogram
Chromium VI,1205.3145500113112,"('air', 'low population density, long-term')",kilogram
Antimony ion,1184.9694313818914,"('soil',)",kilogram
Tin ion,1136.0359650279008,"('water',)",kilogram
Tin ion,1050.8824693922654,"('air', 'urban air close to ground')",kilogram
Uranium,753.8227617822022,"('air', 'urban air close to ground')",kilogram
Molybdenum VI,712.5046710566367,"('soil', 'industrial')",kilogram
Molybdenum VI,699.9836585937996,"('water', 'ocean')",kilogram
Antimony ion,557.0278061284471,"('soil', 'agricultural')",kilogram
Copper ion,-438.9213033330528,"('soil', 'forestry')",kilogram
Mancozeb,412.44052472966365,"('soil', 'agricultural')",kilogram
Phosphate,355.1030889002697,"('water', 'ocean')",kilogram
Phosphorus,219.9943141659047,"('air', 'low population density, long-term')",kilogram
Chromium III,191.0496877575313,"('soil',)",kilogram
Lithium I,190.8639331670048,"('soil',)",kilogram
Lithium I,190.8639331670048,"('water', 'ground-')",kilogram
Glyphosate,188.96262833707038,"('soil', 'agricultural')",kilogram
Chromium VI,185.80261441865335,"('water',)",kilogram
Phosphorus,132.71669885132494,"('soil',)",kilogram
Mancozeb,132.4060526777805,"('air', 'non-urban air or from high stacks')",kilogram
Zinc II,-124.70710620816233,"('soil', 'forestry')",kilogram
Nickel II,110.74661467496676,"('soil', 'forestry')",kilogram
Lithium carbonate,-100.78142460351928,"('water',)",kilogram
Lithium I,-99.79053916285329,"('water',)",kilogram
Chromium III,95.06728517171129,"('water', 'ocean')",kilogram
Sodium dichromate,84.81937686726674,"('air', 'urban air close to ground')",kilogram
Silver I,62.313051037272224,"('air',)",kilogram
Phosphorus,60.294659726186076,"('water',)",kilogram
Chromium III,47.81009726610822,"('water', 'ground-')",kilogram
Chromium VI,42.32964776208831,"('air', 'urban air close to ground')",kilogram
Copper oxychloride,38.150862416169915,"('soil', 'agricultural')",kilogram
Glyphosate,36.52605070976645,"('soil', 'industrial')",kilogram
Phosphorus,32.89792330156391,"('water', 'ground-')",kilogram
Antimony ion,29.806989730905123,"('water',)",kilogram
Fentin hydroxide,29.362552895342656,"('soil', 'agricultural')",kilogram
Aluminium hydroxide,18.518986503014244,"('water',)",kilogram
Copper oxychloride,16.47427595318887,"('air', 'non-urban air or from high stacks')",kilogram
Glyphosate,13.667297415383402,"('air', 'non-urban air or from high stacks')",kilogram
Phosphorus,13.636270761677203,"('air', 'non-urban air or from high stacks')",kilogram
Dichromate,10.704511362471825,"('water',)",kilogram
Acephate,8.501176708311807,"('soil', 'agricultural')",kilogram
Uranium,7.656936925361245,"('air', 'non-urban air or from high stacks')",kilogram
Chromium VI,7.31116699521949,"('air',)",kilogram
Chlorpyrifos methyl,6.288193723610975,"('soil', 'agricultural')",kilogram
Chromium III,5.540746727738172,"('soil', 'forestry')",kilogram
Zineb,5.42261693350758,"('soil', 'agricultural')",kilogram
Mancozeb,5.133960997202081,"('soil', 'forestry')",kilogram
Phosphorus,4.963894147266618,"('water', 'ocean')",kilogram
Phosphorus,3.4207099236510095,"('air',)",kilogram
Lead II,3.144697359445018,"('soil', 'forestry')",kilogram
Lithium I,2.915302141778719,"('air', 'urban air close to ground')",kilogram
Acephate,2.411349042527348,"('air', 'non-urban air or from high stacks')",kilogram
Monocrotophos,1.842194866401253,"('soil', 'agricultural')",kilogram
Glufosinate ammonium,1.780454666689949,"('soil', 'agricultural')",kilogram
Silver I,1.7300156570629772,"('water',)",kilogram
Sulfosate,1.3283455020868147,"('soil', 'agricultural')",kilogram
