flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')","Aluminium, 24% in bauxite, 11% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Aluminium,Al,26.981538,6.422536676269254e-14,{'Al': 1.0},0.11,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')","Iron, 46% in ore, 25% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Iron,Fe,55.84,9.645225823667623e-15,{'Fe': 1.0},0.25,parsed_crude_ore
"('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('natural resource', 'in ground')",kilogram,Ni,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.032,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '9a7380d1-6e23-48ad-b35a-14bd1ecb3133')","Phosphorus, 18% in apatite, 4% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Phosphorus,P,30.973762,1.6973366253890836e-14,{'P': 1.0},0.04,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'ed8c57b5-6012-4f21-8b70-92a85923786a')","Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},1.4999999999999998e-06,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')","Copper, Cu 0.38%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Copper,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},0.0038,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'e47e4e5f-6528-413d-a8fb-1cd1875fbd73')","Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Nickel,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.0104,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'f09c3144-a268-4bed-8ca2-63005b6ef75f')","Nickel, Ni 2.5E+0%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Nickel,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.025,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '6f70e7c7-ef61-4489-b4f3-157e7e8541ef')","Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},4.6e-07,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697')","Iron, 72% in magnetite, 14% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Iron,Fe,55.84,9.645225823667623e-15,{'Fe': 1.0},0.14,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'eaa3e9d4-68d6-4267-a7a5-48b141c3861e')","Silver, Ag 5.4E-3%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},5.4000000000000005e-05,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'a76cf135-2be1-4e53-9423-9211acd100f1')","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,1.6532043483883647e-13,{'Mo': 1.0},8.2e-05,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '781dda0c-ffeb-4664-9667-7506ce6269b9')","Silver, Ag 7.6E-5%, Au 9.7E-5%, in ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},7.6e-07,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'a9ad523f-b721-4f07-ad9f-584053f3454d')","Lithium, 0.15% in brine, in ground","('natural resource', 'in ground')",kilogram,Lithium,Li,7.0,1.5184934529957733e-13,{'Li': 1.0},0.0015,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'ee540366-b970-46af-94d8-4c253ded5577')","Kaolinite, 24% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Kaolinite,Al2H4O9Si2,258.16,1.3425231220878292e-14,"{'Al': 0.20903315773163927, 'H': 0.01561822125813449, 'O': 0.5577587542609235, 'Si': 0.21758599318252245}",0.24,parsed_crude_ore
"('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')","Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,9.066741688482605e-14,{'Ni': 1.0},0.0076,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'ac8571b8-b00b-479d-93cf-b9374feaee05')","Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,1.6532043483883647e-13,{'Mo': 1.0},8.2e-05,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')","Cobalt, Co 5.0E-2%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Cobalt,Co,58.93319,1.9447495148453946e-12,{'Co': 1.0},0.0005,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '4df0eac4-44bb-46b6-b588-e3513a1ead2f')","Lead, Pb 3.6E-1%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Lead,Pb,207.0,1.1855254708054448e-13,{'Pb': 1.0},0.0036,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')","Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('natural resource', 'in ground')",kilogram,Lead,Pb,207.0,1.1855254708054448e-13,{'Pb': 1.0},0.05,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,1.6532043483883647e-13,{'Mo': 1.0},8.2e-05,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'c15f6c4d-bf7a-4a7c-91c6-53aad6a630a8')","Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},7.000000000000001e-05,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'adfff256-b19a-4083-9783-ffbc7a7cb437')","Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},1.5e-07,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'bc153c00-6c93-412f-aadc-750f2fc6f9c7')","Silver, 0.01% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},0.0001,parsed_crude_ore
"('ecoinvent-3.4-biosphere', '704399e3-cf6b-483d-84f5-466e91a9d17c')","Copper, Cu 0.2%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Copper,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},0.002,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')","Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,1.6532043483883647e-13,{'Mo': 1.0},8.2e-05,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'd76320f7-6761-4864-92a6-660fa3453ffa')","Silver, Ag 4.2E-3%, Au 1.1E-4%, in ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},4.2e-05,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '4f684798-3870-45a1-b5f2-aa3444c0b8d6')","Copper, Cu 6.8E-1%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Copper,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},0.0068000000000000005,parsed_in_mineral
