Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
Manganese,"('ecoinvent-3.4-biosphere', '9ba8c05d-1593-45a5-8d3b-5c4f3e9fef32')",Mn,8.139286085107526e-06,8.139286085107526e-06,1.0,6.485008032108113e-14,6.485008032108113e-14,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', '9ce88274-57b6-42ed-a78b-4abef2301865')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', '1e904267-caa3-40e6-a3a0-fc104489770b')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', '9542444c-7c7a-48e2-bc9c-9c7c34fb7b3e')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', '33627701-feca-434d-a192-674a450eaaf7')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', 'caf066cf-40ce-47a8-ba4c-969fcd6019c7')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', '74eb3f02-09ec-46ce-8ee8-d67d0900136b')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', 'f0d1c319-249f-4a89-b0e7-3a5a90a54036')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', 'f0e28a62-ddf9-4c93-af81-676a58c3f2d4')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', 'd4291dd5-dae8-47fa-bf06-466fcecbc210')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', 'ca04300a-8338-4601-ba7c-66c10a4f6322')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', '381a22c9-3722-4378-810d-86958f7b6d32')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', 'b10faa87-2c1d-4f6e-aa65-9f80b376939a')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Cobalt,"('ecoinvent-3.4-biosphere', 'c58d25ad-30d2-4fac-a857-1fa6f67afe8a')",Co,6.534525199621613e-06,6.534525199621613e-06,1.0,1.9447495148453946e-12,1.9447495148453946e-12,dissipation
Antimony,"('ecoinvent-3.4-biosphere', 'b2dc8668-86de-4207-b20e-dc81dea63c98')",Sb,3.5558308718535735e-06,3.5558308718535735e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
Antimony,"('ecoinvent-3.4-biosphere', '83cf77ca-867b-4eef-b0f0-78d71b3d91d5')",Sb,3.5558308718535735e-06,3.5558308718535735e-06,1.0,2.1834077210692158e-11,2.1834077210692158e-11,dissipation
