flow_key,cf
"('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')",25.0
"('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')",37.0
"('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')",4490000.0
"('ecoinvent-3.4-biosphere', 'bea19217-6a28-4711-8142-2e71090c0b46')",90.74538780524249
"('ecoinvent-3.4-biosphere', 'ba2da2fe-3420-45d1-9d1b-58b9e99714eb')",2700000.0
"('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')",908.0
"('ecoinvent-3.4-biosphere', 'c5f5aeb8-7558-4a0c-9594-27621b9cfbc5')",35.987910937894696
"('ecoinvent-3.4-biosphere', '423ef039-6057-4f63-94bd-e9410d024bd0')",0.467428932827375
"('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')",908.0
"('ecoinvent-3.4-biosphere', 'd76320f7-6761-4864-92a6-660fa3453ffa')",7370.0
"('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",292.0
"('ecoinvent-3.4-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')",10900.0
"('ecoinvent-3.4-biosphere', 'a4375a18-172c-4f82-90b7-bca972f75548')",7.951013653289202
"('ecoinvent-3.4-biosphere', '238f8ea9-98df-41dc-ab93-ea5b549a0b96')",15.576449228375047
"('ecoinvent-3.4-biosphere', '781dda0c-ffeb-4664-9667-7506ce6269b9')",7370.0
"('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",292.0
"('ecoinvent-3.4-biosphere', 'd6c7644f-0d7c-4bb3-b8bb-686ebede951e')",553000.0
"('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')",18.0
"('ecoinvent-3.4-biosphere', '14946240-b1ee-412c-b900-ed5728a4e684')",7370.0
"('ecoinvent-3.4-biosphere', 'a8896ed6-4c9d-4b06-a356-49d8cdd9e9d7')",553000.0
"('ecoinvent-3.4-biosphere', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')",5.0
"('ecoinvent-3.4-biosphere', '3e0034cd-21d6-4582-9fbf-09c26edd05df')",339.79534883720936
"('ecoinvent-3.4-biosphere', 'd61418f3-c1a4-4b95-807c-06b7e1fa2915')",39.0
"('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')",292.0
"('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')",908.0
"('ecoinvent-3.4-biosphere', 'f8f1ba14-9934-4678-8a78-e2cf1fce7775')",25.0
"('ecoinvent-3.4-biosphere', '6df9ea09-115a-4678-9f30-d92c877a46ec')",0.8831643895989424
"('ecoinvent-3.4-biosphere', '7a636bea-94c0-4774-a791-2512b7fbda94')",97.0
"('ecoinvent-3.4-biosphere', '95268685-7bea-4883-a412-119d7e88372c')",553000.0
"('ecoinvent-3.4-biosphere', 'a9ad523f-b721-4f07-ad9f-584053f3454d')",546.0
"('ecoinvent-3.4-biosphere', 'e07b4402-abe3-4346-8c42-051c5983bd1e')",484.1786722934589
"('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",292.0
"('ecoinvent-3.4-biosphere', 'ff741136-d6ee-444a-a15b-3b308e376db8')",553000.0
"('ecoinvent-3.4-biosphere', '719def62-0941-4264-bc54-97093d847d7a')",908.0
"('ecoinvent-3.4-biosphere', '704399e3-cf6b-483d-84f5-466e91a9d17c')",292.0
"('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')",8980000.0
