Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '10cbd2f7-c41b-4bb4-b636-d8fc15cf0282')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[1.3289052009582949e-06, 1.1511768515340385e-08, 1.0626568080295657e-08, 2.7726712995733672e-09, 1.1557326859325849e-09, 4.978287916631244e-10, 4.905024751963496e-10, 3.3264323355054624e-10, 5.911235176862889e-11, 4.39357169821555e-11, 3.157458293057896e-11, 9.161122884256023e-13]",1.3564284548038166e-06
"('ecoinvent-3.4-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Cobalt,"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[0.007154641003198375, 3.4826374160002265e-05, 2.0046309995420126e-05, 1.382641383382112e-05, 7.835856863741669e-06, 3.0033155371482486e-06, 1.8190833562591712e-06, 1.6972251773407556e-07, 4.357123533762736e-08, 3.872968439854489e-08, 3.43643687466556e-08, 3.3782713904201983e-08]",0.007236318527464889
"('ecoinvent-3.4-biosphere', '16316600-f12a-410b-8726-3faee64de60a')",Silver,"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[0.0006933996567818661, 1.4075490579406255e-06, 2.263372924008621e-07, 1.621460985695725e-07, 1.038766424890539e-07, 0.0]",0.0006952995658732663
"('ecoinvent-3.4-biosphere', '163926e2-b4cc-42bb-ba7d-401028140985')",Molybdenum,"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","[0.003231073455814193, 0.0013418741825008658, 0.0005079790252256694, 3.370317626584932e-05, 1.621754593898552e-05, 1.1798195048432954e-05, 1.1354155641168432e-05, 7.470875265075243e-07, 3.924111794954129e-07, 3.493787714142763e-07, 1.8978723535792473e-08]",0.005155507592636117
"('ecoinvent-3.4-biosphere', '168c970b-91c9-4427-a3a0-6686ad6cc2c4')",Tin,"['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","[5.885581914794401e-08, 4.2558741620612713e-08, 1.998461580075936e-08, 3.611486765859657e-10, 9.90537772070341e-11]",1.2185937902310908e-07
"('ecoinvent-3.4-biosphere', '1727b41d-377e-43cd-bc01-9eaba946eccb')",Phosphate,"['P', 'P', 'P', 'P', 'P']","[2.732496771304e-07, 3.802941075613068e-08, 3.0165040731117075e-11, 4.483122171801633e-12, 5.4955039002510323e-17]",3.1131373610438866e-07
"('ecoinvent-3.4-biosphere', '17955b10-4c04-4fff-91e7-cf89ef1a7cca')",Glyphosate,"['P', 'P', 'P', 'P', 'P']","[1.7483945658732076e-12, 2.4724272047246077e-13, 8.534517557091843e-14, 5.4955039002510336e-17, 0.0]",2.0810374169555893e-12
"('ecoinvent-3.4-biosphere', '183f9856-03ab-464d-9366-8ef62077b510')",Antimony,"['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb']","[1.2003996632167017e-05, 2.7608315623075266e-06, 1.9764994618861804e-06, 8.398694605998835e-07, 2.0716904935695476e-07, 2.9289958507624105e-08, 3.677203023718994e-09, 2.87051636150663e-09, 2.2680652603734502e-10, 2.2389265783945845e-12]",1.7824432889663027e-05
"('ecoinvent-3.4-biosphere', '198ce8e3-f05a-4bec-9f7f-325347453326')",Phosphorus,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[8.815357061862996e-10, 1.3350469431915354e-10, 7.112424032186766e-11, 4.3600338759077273e-11, 1.4622821463644485e-11, 7.114039709091073e-12, 8.702679976458197e-13, 3.4984377829031466e-13, 1.27275870329858e-13, 4.011717847183295e-15]",1.1528532401232468e-09
"('ecoinvent-3.4-biosphere', '19b6e569-85a4-4ea9-a590-d61a21e3c846')",Tin,"['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","[5.885581914794401e-08, 4.2558741620612713e-08, 1.998461580075936e-08, 3.611486765859657e-10, 9.90537772070341e-11]",1.2185937902310908e-07
