0,1,2,3
"('ecoinvent-3.12-biosphere', '618492db-c197-56f9-9b25-fcde7ba50921')",Diuron,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '48fb97de-9c8f-5de9-9e02-32cef61fa273')",Granite,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', 'ee5e45ae-1121-5195-bc08-effb9d8f05a6')",Pendimethalin,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '9d62f34e-56df-4c48-ba0f-3a50008f29be')",Quinmerac,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'f1d7c649-6c3b-5f40-afcf-ce66ec9b3aca')",Tecnazene,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '8496e6be-7e59-5371-8e05-db82465a9b86')",Benfluralin,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', 'c4ab841c-b243-45fe-b5f9-258a00016fc9')",Iodosulfuron-methyl-sodium,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'adb8042d-958a-58ed-9949-d58e2843b9a2')",Lenacil,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '99f1e4a4-2f47-4098-8f28-4c736a5b675d')",Prochloraz,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'd03db4ac-73ea-5e94-b3a5-69165a735818')",Urea sulfate,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', 'a971e173-869c-57d8-916e-2b711893bbd9')",Trifluralin,"('water', 'ground-')",kilogram
"('ecoinvent-3.12-biosphere', 'c89a0749-40a5-4c9c-8770-c4295ea34977')",Phosphorus,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'eb5151f5-6564-5933-b34c-9654fa81a160')",Benalaxyl-M,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '76b8d052-7de3-5c5b-8519-f9fcc29e47e2')",Isoprothiolane,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'ee5fcefa-e7e6-5601-a192-56b2bea42d5a')",Flucythrinate,"('soil', 'forestry')",kilogram
"('ecoinvent-3.12-biosphere', '996fb268-ef91-5e56-a3d3-77d4356118b3')",Silvex isooctyl ester,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', 'fc952f5d-4019-55dc-a971-ad39d97a8d65')",Diofenolan,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', 'db4566b1-bd88-427d-92da-2d25879063b9')",Water,"('water', 'surface water')",cubic meter
"('ecoinvent-3.12-biosphere', '7ffda147-f556-5470-8db7-5be5c15472c2')",Lufenuron,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'd3e2d77e-6e07-5e44-8d52-5b2660182997')",Dimethoate,"('soil', 'forestry')",kilogram
"('ecoinvent-3.12-biosphere', 'cb1824e2-1275-5859-81e1-e1841eb16603')","2,4-D ester","('water',)",kilogram
