flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', 'a2e6fb74-b047-5697-b5dd-e28cc68f29e6')",Rhenium,"('natural resource', 'in ground')",kilogram,Rhenium,Re,186.207,"[['Re', 1]]",{'Re': 1.0},0.000233,valero_fallback
"('ecoinvent-3.12-biosphere', '8ce3ff02-7a1e-48e3-881e-3248b944f28a')",Iron,"('natural resource', 'in ground')",kilogram,Iron,Fe,55.84,"[['Fe', 1]]",{'Fe': 1.0},0.73,valero_fallback
"('ecoinvent-3.12-biosphere', '7781bd84-0ca4-5bf1-8fc5-15cdc1fb0796')",Actinium,"('natural resource', 'in ground')",kilogram,Actinium,Ac,227.02775,"[['Ac', 1]]",{'Ac': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'd099e3f0-2fe5-4db1-889a-ad7851705396')",Bromide,"('natural resource', 'in water')",kilogram,Bromide,Br-,79.9,"[['Br', 1]]",{'Br': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'e3f5fd63-7dcb-41f1-9b8a-a48a8d68bc65')",Nitrogen,"('natural resource', 'in air')",kilogram,Nitrogen,N2,28.014,"[['N', 2]]",{'N': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'c2586875-bb56-4b1e-84c5-5ff255a1108b')",Manganese,"('natural resource', 'in ground')",kilogram,Manganese,Mn,54.93804,"[['Mn', 1]]",{'Mn': 1.0},0.316,valero_fallback
"('ecoinvent-3.12-biosphere', '5f47f918-1c32-5870-b992-db91f843ff34')",Selenium,"('natural resource', 'in ground')",kilogram,Selenium,Se,78.97,"[['Se', 1]]",{'Se': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '0f1b21d0-2780-4742-87f2-28fb21a44db5')",Strontium,"('natural resource', 'in ground')",kilogram,Strontium,Sr,87.62,"[['Sr', 1]]",{'Sr': 1.0},0.188,valero_fallback
"('ecoinvent-3.12-biosphere', 'f2f53dc8-8e09-511f-8dd2-4bae3625ba27')",Holmium,"('natural resource', 'in ground')",kilogram,Holmium,Ho,164.93033,"[['Ho', 1]]",{'Ho': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '0fa4f51e-b0dc-5d11-84d3-b32f0f3c88d5')",Fluorspar,"('natural resource', 'in ground')",kilogram,Fluorspar,CaF2,78.07,"[['Ca', 1], ['F', 2]]","{'Ca': 0.5133598053029333, 'F': 0.48669143076726024}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '0124b342-4bdd-5cbf-ba2a-dce8a259755c')",Bismuth,"('natural resource', 'in ground')",kilogram,Bismuth,Bi,208.9804,"[['Bi', 1]]",{'Bi': 1.0},0.002,valero_fallback
"('ecoinvent-3.12-biosphere', 'a4bab069-74a9-5b4c-8d6e-5ca984cd9ecd')",Magnesite,"('natural resource', 'in ground')",kilogram,Magnesite,CMgO3,84.31,"[['C', 1], ['Mg', 1], ['O', 3]]","{'C': 0.14246234135926936, 'Mg': 0.28828134266397815, 'O': 0.5692918989443719}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '89b567f2-2cab-503e-b796-42cba72fce16')",Yttrium,"('natural resource', 'in ground')",kilogram,Yttrium,Y,88.90584,"[['Y', 1]]",{'Y': 1.0},5.91e-07,valero_fallback
"('ecoinvent-3.12-biosphere', 'b053aa52-bfac-5435-a0b1-4ca374b0e991')",Boron,"('natural resource', 'in ground')",kilogram,Boron,B,10.81,"[['B', 1]]",{'B': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '221d3aa1-6443-5d83-aad7-72929641bd0f')",Osmium,"('natural resource', 'in ground')",kilogram,Osmium,Os,190.2,"[['Os', 1]]",{'Os': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'b1e13de6-e0a4-56b6-b096-7ab1171d60e3')",Sylvite,"('natural resource', 'in ground')",kilogram,Sylvite,ClK,74.55,"[['Cl', 1], ['K', 1]]","{'Cl': 0.47556002682763254, 'K': 0.5244533869885982}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'e373f7b4-42e9-4cc7-a73c-f87bec88008b')",Potassium,"('natural resource', 'in ground')",kilogram,Potassium,K,39.0983,"[['K', 1]]",{'K': 1.0},0.25,valero_fallback
"('ecoinvent-3.12-biosphere', '93806a54-46f5-409c-99c5-4144a1e73b5d')","Clay, bentonite","('natural resource', 'in ground')",kilogram,Clay,Al2O5Si,162.05,"[['Al', 2], ['O', 5], ['Si', 1]]","{'Al': 0.33300833076211045, 'O': 0.49364393705646403, 'Si': 0.17331687750694227}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '247f3d96-7da2-5adf-a399-65745bc042fb')",Magnesium,"('natural resource', 'in water')",kilogram,Magnesium,Mg,24.305,"[['Mg', 1]]",{'Mg': 1.0},0.42,valero_fallback
"('ecoinvent-3.12-biosphere', '0e2f5e72-a754-5a14-bce5-6f8d66276d82')",Caesium,"('natural resource', 'in ground')",kilogram,Caesium,Cs,132.905452,"[['Cs', 1]]",{'Cs': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '9e28eac3-49f9-5a0d-a8d0-dc4e071ad9e6')",Dysprosium,"('natural resource', 'in ground')",kilogram,Dysprosium,Dy,162.5,"[['Dy', 1]]",{'Dy': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '7f9f9b59-35a0-584d-ad5e-07da01dde768')",Scandium,"('natural resource', 'in ground')",kilogram,Scandium,Sc,44.95591,"[['Sc', 1]]",{'Sc': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '361a64cb-ab76-4a72-9ea1-c07d6a20c124')",Silver,"('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,"[['Ag', 1]]",{'Ag': 1.0},3.72e-06,valero_fallback
"('ecoinvent-3.12-biosphere', 'a9ac40a0-9bea-4c48-afa7-66aa6eb90624')",Copper,"('natural resource', 'in ground')",kilogram,Copper,Cu,63.55,"[['Cu', 1]]",{'Cu': 1.0},0.0058,valero_fallback
"('ecoinvent-3.12-biosphere', '8b46f615-69c9-4ca3-815e-a7bde116d202')",Argon,"('natural resource', 'in air')",kilogram,Argon,Ar,39.9,"[['Ar', 1]]",{'Ar': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '68a376fd-cb4a-4a2a-9651-c3b6e37f75e6')",Manganese II,"('natural resource', 'in water')",kilogram,Manganese,Mn,54.93804,"[['Mn', 1]]",{'Mn': 1.0},0.316,valero_fallback
"('ecoinvent-3.12-biosphere', 'edc69c63-a776-4dbf-acbf-e0368914980a')",Palladium,"('natural resource', 'in ground')",kilogram,Palladium,Pd,106.42,"[['Pd', 1]]",{'Pd': 1.0},1.37e-07,valero_fallback
"('ecoinvent-3.12-biosphere', '5666353e-2db2-41d3-8414-404709151422')",Graphite,"('natural resource', 'in ground')",kilogram,Graphite,C,12.011,"[['C', 1]]",{'C': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '6cc66c8e-d3e5-5be8-aa77-d98156305121')",Radium,"('natural resource', 'in ground')",kilogram,Radium,Ra,226.02541,"[['Ra', 1]]",{'Ra': 1.0},1.0,stoichiometric
