0,1,2,3
"('ecoinvent-3.4-biosphere', '6b479ea3-eb47-4860-8778-b0ed9bc672fa')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('soil', 'forestry')",kilogram
"('ecoinvent-3.4-biosphere', '3ea439c3-64aa-4c90-a265-188350e7a4a6')","Oils, unspecified","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'd069e5a1-c3c0-4513-9fa5-ff3ebe687ea7')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', 'bd254636-6538-4bcf-b0e5-62a2e8252b57')",Dissolved solids,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '21f7d520-f329-4592-8880-949a08773371')","Hydrocarbons, chlorinated","('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '961ccd56-2eee-4f57-bb18-fc4362b49000')","COD, Chemical Oxygen Demand","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '6185fd6b-02a7-4db5-a5dd-f4b7445f9ce5')","Fungicides, unspecified","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '69bb7dd8-43bc-49ff-a67c-0eb8e82558d0')","2,4-D ester","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '8b5d5c1d-c786-4367-94f0-fae42cd3ac0a')","Hydrocarbons, aromatic","('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'a5a9c364-1591-4247-8a42-60cfd33696ab')","Butylcarbamate, iodopropynyl","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '9d6cb18b-db4b-4fe6-8449-2830536751e9')","Insecticides, unspecified","('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', 'd1d77d54-e19f-4c3d-8fdc-389f78e72515')","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '4841a0fe-c250-4a39-94a1-1bc31426c0f1')",Nitrogen oxides,"('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', 'acd68ded-df6f-4a5f-b95d-bbbf2567c735')","Hydrocarbons, aliphatic, alkanes, unspecified","('water',)",kilogram
"('ecoinvent-3.4-biosphere', 'd6626dfb-3ac8-4169-9e75-54c41ef2a582')","Hydrocarbons, chlorinated","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', 'bdc5534e-85e0-4b6c-bd84-80e50e831190')","Hydrocarbons, aliphatic, alkanes, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', 'f4498c00-c870-40fb-a2b3-49b6f522d324')",Tributyltin compounds,"('water', 'ocean')",kilogram
