flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,fraction,grade_source
"('ecoinvent-3.4-biosphere', 'c09f409d-a35b-435e-974b-ae527b8546d5')",Gold,"('water', 'surface water')",kilogram,Gold,Au,196.96657,"[['Au', 1]]",{'Au': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '9dc481e4-e4cd-4cb1-a03e-d539f774e958')",Acenaphthylene,"('water', 'ocean')",kilogram,Acenaphthylene,C12H8,152.19,"[['C', 12], ['H', 8]]","{'C': 0.9470530258229845, 'H': 0.05298639858072147}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a5e13836-93f3-4a63-8e5e-944ac627bced')",Cesium,"('water', 'ground-')",kilogram,Cesium,Cs,132.905452,"[['Cs', 1]]",{'Cs': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '85807a72-053a-48bf-8604-47b242211d1f')",Chlorimuron-ethyl,"('air', 'non-urban air or from high stacks')",kilogram,Chlorimuron-ethyl,C15H15ClN4O6S,414.8,"[['C', 15], ['H', 15], ['Cl', 1], ['N', 4], ['O', 6], ['S', 1]]","{'C': 0.43434185149469623, 'H': 0.036451301832208294, 'Cl': 0.08547010607521698, 'N': 0.13507232401157185, 'O': 0.23142237222757955, 'S': 0.07730231436837029}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a3833724-a816-4c9e-b6fd-ac43e8aeedc2')","Toluene, 2-chloro","('air', 'urban air close to ground')",kilogram,Toluene,C7H8,92.14,"[['C', 7], ['H', 8]]","{'C': 0.9124918602127198, 'H': 0.08751899283698719}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '36bc473e-7f7c-4447-967d-18af3d5220bc')",Cumene,"('water', 'ground-, long-term')",kilogram,Cumene,C9H12,120.19,"[['C', 9], ['H', 12]]","{'C': 0.8994009484982111, 'H': 0.10064065230052417}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'c2f5d202-daf5-4e73-87ec-2c4fc75b832c')",Methyl acetate,"('water',)",kilogram,Methyl acetate,C3H6O2,74.08,"[['C', 3], ['H', 6], ['O', 2]]","{'C': 0.4864065874730022, 'H': 0.08164146868250541, 'O': 0.4319384449244061}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a0399529-bdc0-49bc-a09b-9aea421fbd34')",Carbon disulfide,"('air', 'lower stratosphere + upper troposphere')",kilogram,Carbon disulfide,CS2,76.15,"[['C', 1], ['S', 2]]","{'C': 0.1577281680892974, 'S': 0.8421536441234404}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '873d28d3-e53b-46a6-aaa0-63b923f0a56c')",Clethodim,"('soil', 'agricultural')",kilogram,Clethodim,C17H26ClNO3S,359.9,"[['C', 17], ['H', 26], ['Cl', 1], ['N', 1], ['O', 3], ['S', 1]]","{'C': 0.5673437065851625, 'H': 0.07282022784106697, 'Cl': 0.09850791886635178, 'N': 0.03891914420672409, 'O': 0.13336204501250348, 'S': 0.08909419283134204}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '10319ea8-90db-4340-be33-b7182dca01db')",Tungsten,"('water', 'ground-, long-term')",kilogram,Tungsten,W,183.84,"[['W', 1]]",{'W': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '97f92a10-ea74-463f-a9d7-3c852b6aab4c')",Formic acid,"('water',)",kilogram,Formic acid,CH2O2,46.025,"[['C', 1], ['H', 2], ['O', 2]]","{'C': 0.260966865833786, 'H': 0.04380228136882129, 'O': 0.6952308527973927}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '1cd24bc8-53b9-43e8-ad58-4438c9244a10')",2-Propanol,"('air', 'lower stratosphere + upper troposphere')",kilogram,2-Propanol,C3H8O,60.1,"[['C', 3], ['H', 8], ['O', 1]]","{'C': 0.5995507487520799, 'H': 0.1341763727121464, 'O': 0.2662063227953411}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '521f6650-daec-4724-b40b-bf7fea17ceb2')",Fluosilicic acid,"('air', 'urban air close to ground')",kilogram,Fluosilicic acid,F6H2Si,144.091,"[['F', 6], ['H', 2], ['Si', 1]]","{'F': 0.7910834125656703, 'H': 0.013991158365199768, 'Si': 0.194918489010417}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'f3841066-b23d-4c7a-94bd-791c55bd3e0f')",Acetonitrile,"('water', 'ground-')",kilogram,Acetonitrile,C2H3N,41.05,"[['C', 2], ['H', 3], ['N', 1]]","{'C': 0.5851887941534714, 'H': 0.07366626065773448, 'N': 0.3412180267965895}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '76b09afe-52b9-4ecc-b97a-00b49ad8ed1a')",Phosphorus,"('water', 'ground-, long-term')",kilogram,Phosphorus,P,30.973762,"[['P', 1]]",{'P': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'dc90db73-6f27-403d-baf1-cb7e0b6cae31')",Mercury,"('air', 'low population density, long-term')",kilogram,Mercury,Hg,200.59,"[['Hg', 1]]",{'Hg': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a74f6771-955e-4343-b796-4775067d51f5')",Bitertanol,"('soil', 'agricultural')",kilogram,Bitertanol,C20H23N3O2,337.4,"[['C', 20], ['H', 23], ['N', 3], ['O', 2]]","{'C': 0.7119739181979845, 'H': 0.0687136929460581, 'N': 0.1245435684647303, 'O': 0.09483698873740369}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '3fe03409-76e1-4228-8fd7-77c4c6a0d9f3')",Anthraquinone,"('soil', 'agricultural')",kilogram,Anthraquinone,C14H8O2,208.21,"[['C', 14], ['H', 8], ['O', 2]]","{'C': 0.8076173094471927, 'H': 0.03873012823591566, 'O': 0.15368137937659093}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '19e97bd6-d0ae-4208-bd77-d58e5d46d827')",Beryllium,"('air', 'urban air close to ground')",kilogram,Beryllium,Be,9.012183,"[['Be', 1]]",{'Be': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '62f3d964-9b53-4d01-9ee0-04112dcfc6d2')",Phosphorus,"('water', 'ocean')",kilogram,Phosphorus,P,30.973762,"[['P', 1]]",{'P': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'd40b90a8-c469-41ec-b5ea-f80386859a82')",Ammonium carbonate,"('air', 'non-urban air or from high stacks')",kilogram,Ammonium carbonate,CH8N2O3,96.09,"[['C', 1], ['H', 8], ['N', 2], ['O', 3]]","{'C': 0.1249973982724529, 'H': 0.08392132375897596, 'N': 0.2915391820168592, 'O': 0.49950046831095846}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '58f84a38-ca67-490c-8ed7-219c42dcc52d')",Propanal,"('air', 'low population density, long-term')",kilogram,Propanal,C3H6O,58.08,"[['C', 3], ['H', 6], ['O', 1]]","{'C': 0.6204028925619836, 'H': 0.10413223140495868, 'O': 0.27546487603305786}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a8a2f53b-c6d2-4302-a59f-502bd7e242fc')","Ethene, tetrachloro-","('air', 'lower stratosphere + upper troposphere')",kilogram,Ethene,C2H4,28.05,"[['C', 2], ['H', 4]]","{'C': 0.8563992869875222, 'H': 0.14374331550802139}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'be206401-d803-4b14-8319-53b916e9beef')",Quizalofop-P,"('soil', 'agricultural')",kilogram,Quizalofop-P,C17H13ClN2O4,344.7,"[['C', 17], ['H', 13], ['Cl', 1], ['N', 2], ['O', 4]]","{'C': 0.5923614737452857, 'H': 0.03801566579634465, 'Cl': 0.1028517551494053, 'N': 0.08127067014795475, 'O': 0.18565709312445605}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '13fcf4c3-7800-5444-ba84-6d4b7e611ce6')",Pentane,"('water',)",kilogram,Pentane,C5H12,72.15,"[['C', 5], ['H', 12]]","{'C': 0.8323631323631322, 'H': 0.16765072765072764}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'ed38a7d2-ffa5-4c28-9aea-dd9df0d1898b')",Chloroacetic acid,"('air', 'urban air close to ground')",kilogram,Chloroacetic acid,C2H3ClO2,94.5,"[['C', 2], ['H', 3], ['Cl', 1], ['O', 2]]","{'C': 0.2542010582010582, 'H': 0.032, 'Cl': 0.3751640211640212, 'O': 0.33860317460317463}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '963be8ca-e43d-4f8d-a97b-d8982035ffbc')",Propanal,"('air', 'non-urban air or from high stacks')",kilogram,Propanal,C3H6O,58.08,"[['C', 3], ['H', 6], ['O', 1]]","{'C': 0.6204028925619836, 'H': 0.10413223140495868, 'O': 0.27546487603305786}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '1febb3ea-a4ee-4b7d-a6e7-0c4b6da28188')",Cyanide,"('water', 'ocean')",kilogram,Cyanide,CN-,26.017,"[['C', 1], ['N', 1]]","{'C': 0.4616596840527347, 'N': 0.5383787523542299}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '9bb73c31-c01d-4384-b567-15c1544ae581')",Sulfuric acid,"('soil', 'agricultural')",kilogram,Sulfuric acid,H2O4S,98.08,"[['H', 2], ['O', 4], ['S', 1]]","{'H': 0.020554649265905382, 'O': 0.6524877650897227, 'S': 0.3269269983686786}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'b0aacabb-9b90-419d-844b-a2ed64ead80e')",Tungsten,"('air', 'urban air close to ground')",kilogram,Tungsten,W,183.84,"[['W', 1]]",{'W': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', 'd3e038e1-728c-4dea-ac30-c9abbbfcbc84')",Cyanide,"('air',)",kilogram,Cyanide,CN-,26.017,"[['C', 1], ['N', 1]]","{'C': 0.4616596840527347, 'N': 0.5383787523542299}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'c8da1004-26dc-493a-a568-72f4c3820fc8')",Formic acid,"('air', 'low population density, long-term')",kilogram,Formic acid,CH2O2,46.025,"[['C', 1], ['H', 2], ['O', 2]]","{'C': 0.260966865833786, 'H': 0.04380228136882129, 'O': 0.6952308527973927}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '1f96681c-1f2c-433e-8c60-45b66dc3ec01')",Butene,"('water', 'ground-, long-term')",kilogram,Butene,C4H8,56.11,"[['C', 4], ['H', 8]]","{'C': 0.8562466583496703, 'H': 0.14371769738014614}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '15bdfe3d-58b7-4cf3-a8db-0b16a8b9949b')",Formate,"('water', 'ground-')",kilogram,Formate,CHO2-,45.017,"[['C', 1], ['H', 1], ['O', 2]]","{'C': 0.2668103161028056, 'H': 0.022391540973410045, 'O': 0.7107981429237843}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'f3f34697-7231-4575-aaf5-e35b972d329a')",Monochloroethane,"('air', 'urban air close to ground')",kilogram,Monochloroethane,C2H5Cl,64.51,"[['C', 2], ['H', 5], ['Cl', 1]]","{'C': 0.37237637575569676, 'H': 0.07812742210509997, 'Cl': 0.5495737095024027}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'c10f1360-e1dc-44fa-8c2d-00bdd8524724')",Azinphos-methyl,"('soil', 'agricultural')",kilogram,Azinphos-methyl,C10H12N3O3PS2,317.3,"[['C', 10], ['H', 12], ['N', 3], ['O', 3], ['P', 1], ['S', 2]]","{'C': 0.3785376615190671, 'H': 0.038121651433974155, 'N': 0.13243302867948314, 'O': 0.15126693980460132, 'P': 0.0976173967853766, 'S': 0.2021115663410022}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '48430c70-95e0-4036-9854-72cc772ac8b2')",Sulfur trioxide,"('air', 'non-urban air or from high stacks')",kilogram,Sulfur trioxide,O3S,80.07,"[['O', 3], ['S', 1]]","{'O': 0.5994379917572125, 'S': 0.400462095666292}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'e4e9febc-07c1-403d-8d3a-6707bb4d96e6')","Carbon dioxide, from soil or biomass stock","('air',)",kilogram,Carbon dioxide,CO2,44.009,"[['C', 1], ['O', 2]]","{'C': 0.27292144788565975, 'O': 0.7270785521143402}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '24cf82f8-c517-4fef-8f93-17519adb855e')",Barium,"('air', 'non-urban air or from high stacks')",kilogram,Barium,Ba,137.33,"[['Ba', 1]]",{'Ba': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '3ba36854-15b2-415a-aa71-c99257aa7204')",Phosphorus trichloride,"('air', 'non-urban air or from high stacks')",kilogram,Phosphorus trichloride,Cl3P,137.33,"[['Cl', 3], ['P', 1]]","{'Cl': 0.7744775358625209, 'P': 0.2255443093278963}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'b6edb30e-cdf4-48ab-95d5-4f52de17f68e')",Glutaraldehyde,"('water', 'ground-, long-term')",kilogram,Glutaraldehyde,C5H8O2,100.12,"[['C', 5], ['H', 8], ['O', 2]]","{'C': 0.5998302037554933, 'H': 0.08054334798242109, 'O': 0.31959648421893727}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '9ba8c05d-1593-45a5-8d3b-5c4f3e9fef32')",Manganese,"('soil', 'agricultural')",kilogram,Manganese,Mn,54.93804,"[['Mn', 1]]",{'Mn': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '66c985be-8604-48ec-92e1-4e172128dc11')",Dimethyl ether,"('water', 'surface water')",kilogram,Dimethyl ether,C2H6O,46.07,"[['C', 2], ['H', 6], ['O', 1]]","{'C': 0.5214239201215541, 'H': 0.1312784892554808, 'O': 0.3472758845235511}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '55b0bc94-7f43-4930-ad57-25af3f892757')",Acetaldehyde,"('air', 'low population density, long-term')",kilogram,Acetaldehyde,C2H4O,44.05,"[['C', 2], ['H', 4], ['O', 1]]","{'C': 0.5453348467650397, 'H': 0.09153234960272419, 'O': 0.3632009080590239}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a2bdcca0-8d6b-4dd3-af0e-df1e2bc99107')",Benzo(k)fluoranthene,"('water', 'ocean')",kilogram,Benzo(k)fluoranthene,C20H12,252.3,"[['C', 20], ['H', 12]]","{'C': 0.9521204914783986, 'H': 0.04794292508917954}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'ca389e38-d086-4527-914c-9c09ea14ae4d')",Aniline,"('water', 'surface water')",kilogram,Aniline,C6H7N,93.13,"[['C', 6], ['H', 7], ['N', 1]]","{'C': 0.773821539783099, 'H': 0.07576505959411575, 'N': 0.15040266294427146}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'e023deca-8929-4972-9528-e421a42e8bfd')",Lithium carbonate,"('air', 'lower stratosphere + upper troposphere')",kilogram,Lithium carbonate,CLi2O3,73.9,"[['C', 1], ['Li', 2], ['O', 3]]","{'C': 0.16253044654939106, 'Li': 0.1878484438430311, 'O': 0.6494857916102841}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '6eebb3c4-306f-4dc4-afb1-2c8fdf0c64ff')",Trimethylamine,"('water', 'ground-, long-term')",kilogram,Trimethylamine,C3H9N,59.11,"[['C', 3], ['H', 9], ['N', 1]]","{'C': 0.6095922855692777, 'H': 0.15347656910844187, 'N': 0.23696498054474707}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '46b2ddbc-a5b9-451b-842f-3d89d0614d2e')",Potassium chloride,"('air', 'urban air close to ground')",kilogram,Potassium chloride,ClK,74.55,"[['Cl', 1], ['K', 1]]","{'Cl': 0.47556002682763254, 'K': 0.5244533869885982}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '5d4b497b-d265-42d1-a41a-113785a6d694')",Beryllium,"('air', 'non-urban air or from high stacks')",kilogram,Beryllium,Be,9.012183,"[['Be', 1]]",{'Be': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '14b6726a-44bf-4ad4-b933-02470d84c22a')",Carbon disulfide,"('air', 'urban air close to ground')",kilogram,Carbon disulfide,CS2,76.15,"[['C', 1], ['S', 2]]","{'C': 0.1577281680892974, 'S': 0.8421536441234404}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '1d0f4392-8c91-4d01-8a5d-f8fe1f5b05c9')","Calcium, ion","('water', 'ground-')",kilogram,Calcium,Ca,40.08,"[['Ca', 1]]",{'Ca': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '40cb6ea0-d72a-47aa-b186-0c05891187e0')",Diborane,"('water', 'surface water')",kilogram,Diborane,B2H6,27.67,"[['B', 2], ['H', 6]]","{'B': 0.7813516443801951, 'H': 0.21857607517166605}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '259cf8d6-6ea8-4ccf-84b7-23c930a5b2b3')","Carbon dioxide, to soil or biomass stock","('soil', 'agricultural')",kilogram,Carbon dioxide,CO2,44.009,"[['C', 1], ['O', 2]]","{'C': 0.27292144788565975, 'O': 0.7270785521143402}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '8b0a4a41-c65c-4d94-b10c-94ddb98abdd2')",Phosphorus,"('soil',)",kilogram,Phosphorus,P,30.973762,"[['P', 1]]",{'P': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '86d12e70-0c64-4ecf-ba52-114fa0c5d402')","Methane, tetrachloro-, R-10","('air',)",kilogram,Methane,CH4,16.043,"[['C', 1], ['H', 4]]","{'C': 0.7486754347690582, 'H': 0.2513245652309419}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'fa1a376f-567a-47b2-98e9-b3e5a5e4d224')",Trifloxystrobin,"('soil', 'agricultural')",kilogram,Trifloxystrobin,C20H19F3N2O4,408.4,"[['C', 20], ['H', 19], ['F', 3], ['N', 2], ['O', 4]]","{'C': 0.588197845249755, 'H': 0.046895200783545546, 'F': 0.1395543584720862, 'N': 0.06859451518119491, 'O': 0.15669931439764936}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '968495ec-1000-438a-9e11-467776ebb54e')","Carbon monoxide, non-fossil","('air', 'lower stratosphere + upper troposphere')",kilogram,Carbon monoxide,CO,28.01,"[['C', 1], ['O', 1]]","{'C': 0.42881113887897176, 'O': 0.5711888611210282}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '50790dc4-dd52-4811-b124-d9e9c920cd70')",Hydrogen sulfide,"('water', 'surface water')",kilogram,Hydrogen sulfide,H2S,34.08,"[['H', 2], ['S', 1]]","{'H': 0.05915492957746479, 'S': 0.9408744131455399}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '816c43d1-bc30-4a72-81db-08cb6be4da4f')","Methane, bromochlorodifluoro-, Halon 1211","('air', 'urban air close to ground')",kilogram,Methane,CH4,16.043,"[['C', 1], ['H', 4]]","{'C': 0.7486754347690582, 'H': 0.2513245652309419}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'b4580545-243d-48d2-a3a0-2633a4f46fb1')",Nickel,"('soil', 'agricultural')",kilogram,Nickel,Ni,58.693,"[['Ni', 1]]",{'Ni': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '8476d82a-4a17-4c08-8339-efd46c6518e7')",Benzene,"('air', 'low population density, long-term')",kilogram,Benzene,C6H6,78.11,"[['C', 6], ['H', 6]]","{'C': 0.9226219434131354, 'H': 0.07742926641915247}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '05d248c7-0159-49c6-88f8-bd4aa70f4894')",Propanal,"('water', 'ground-')",kilogram,Propanal,C3H6O,58.08,"[['C', 3], ['H', 6], ['O', 1]]","{'C': 0.6204028925619836, 'H': 0.10413223140495868, 'O': 0.27546487603305786}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '856f0506-79b3-42c1-8faa-3e9f8699c28d')",Hexane,"('water',)",kilogram,Hexane,C6H14,86.18,"[['C', 6], ['H', 14]]","{'C': 0.8362265026688327, 'H': 0.16375029009050823}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '6c95c917-d232-4c5b-9721-8b2841e6671c')",Ethyne,"('air', 'lower stratosphere + upper troposphere')",kilogram,Ethyne,C2H2,26.04,"[['C', 2], ['H', 2]]","{'C': 0.9225038402457757, 'H': 0.07741935483870968}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'e7f1df40-788a-4403-81ea-e5e9e84e32d7')",Cypermethrin,"('soil', 'agricultural')",kilogram,Cypermethrin,C22H19Cl2NO3,416.3,"[['C', 22], ['H', 19], ['Cl', 2], ['N', 1], ['O', 3]]","{'C': 0.6347393706461685, 'H': 0.04600528465049243, 'Cl': 0.1703242853711266, 'N': 0.033646408839779006, 'O': 0.11529425894787412}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '14b5c954-056b-4d06-8e2c-2848d85619b1')","Toluene, 2-chloro","('air', 'non-urban air or from high stacks')",kilogram,Toluene,C7H8,92.14,"[['C', 7], ['H', 8]]","{'C': 0.9124918602127198, 'H': 0.08751899283698719}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'e6360e00-79a2-455e-ac9d-2e3159736771')",Iodide,"('water', 'surface water')",kilogram,Iodide,I-,126.9045,"[['I', 1]]",{'I': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '614313e2-984e-4b34-9221-093fcf07db92')",Sodium chlorate,"('air', 'non-urban air or from high stacks')",kilogram,Sodium chlorate,ClNaO3,106.44,"[['Cl', 1], ['Na', 1], ['O', 3]]","{'Cl': 0.3330796692972567, 'Na': 0.21599022923712888, 'O': 0.45093010146561446}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '7dd7bc0f-dff1-4564-8b74-eb40ca335b8f')",Ethene,"('water', 'ground-, long-term')",kilogram,Ethene,C2H4,28.05,"[['C', 2], ['H', 4]]","{'C': 0.8563992869875222, 'H': 0.14374331550802139}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '233ed5ca-7df0-4cf6-9271-21459ecd5c23')","Acrylate, ion","('water', 'ground-')",kilogram,Acrylate,C3H3O2-,71.05,"[['C', 3], ['H', 3], ['O', 2]]","{'C': 0.5071498944405348, 'H': 0.0425615763546798, 'O': 0.4503589021815623}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '701cda28-4722-431c-b52f-05a735ef5ed3')","Methane, bromo-, Halon 1001","('air', 'non-urban air or from high stacks')",kilogram,Methane,CH4,16.043,"[['C', 1], ['H', 4]]","{'C': 0.7486754347690582, 'H': 0.2513245652309419}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'fce0b9ae-53c8-4ab0-9e7a-7f5c2ed2c856')",Silver,"('soil', 'agricultural')",kilogram,Silver,Ag,107.868,"[['Ag', 1]]",{'Ag': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '6bc58b2a-8d1c-4ebf-a0e7-76bb59ff462a')",Lambda-cyhalothrin,"('air', 'non-urban air or from high stacks')",kilogram,Lambda-cyhalothrin,C23H19ClF3NO3,449.8,"[['C', 23], ['H', 19], ['Cl', 1], ['F', 3], ['N', 1], ['O', 3]]","{'C': 0.6141685193419297, 'H': 0.0425789239662072, 'Cl': 0.0788194753223655, 'F': 0.1267096487327701, 'N': 0.031140506891951976, 'O': 0.10670742552245442}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '0cc9c42e-7ebf-4f34-b90f-cc3f6b5aa9a6')","Benzene, pentachloro-","('air', 'lower stratosphere + upper troposphere')",kilogram,Benzene,C6H6,78.11,"[['C', 6], ['H', 6]]","{'C': 0.9226219434131354, 'H': 0.07742926641915247}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'cefa3637-739c-5e9f-99a6-2456e6a44772')",Phosphoric acid,"('water',)",kilogram,Phosphoric acid,H3O4P,97.995,"[['H', 3], ['O', 4], ['P', 1]]","{'H': 0.030858717281493954, 'O': 0.6530537272309812, 'P': 0.31607735088524924}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '15f9ebbb-b1b5-4bf7-88c6-d99424f5eced')",Carbon disulfide,"('air', 'non-urban air or from high stacks')",kilogram,Carbon disulfide,CS2,76.15,"[['C', 1], ['S', 2]]","{'C': 0.1577281680892974, 'S': 0.8421536441234404}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '99c0e2e2-6433-44f9-84f8-8cfa35c9099e')",Pyraclostrobin,"('air', 'non-urban air or from high stacks')",kilogram,Pyraclostrobin,C19H18ClN3O4,387.8,"[['C', 19], ['H', 18], ['Cl', 1], ['N', 3], ['O', 4]]","{'C': 0.5884708612686951, 'H': 0.0467870036101083, 'Cl': 0.09142083548220732, 'N': 0.10835740072202166, 'O': 0.16502320783909233}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a3436836-e2fe-4c30-b9a7-0098b489374f')",Phenol,"('water', 'ocean')",kilogram,Phenol,C6H6O,94.11,"[['C', 6], ['H', 6], ['O', 1]]","{'C': 0.765763468281798, 'H': 0.06426522154925088, 'O': 0.17000318775900541}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '37f69770-85d0-4af3-a612-41e9d314f5bb')","Acrylate, ion","('water',)",kilogram,Acrylate,C3H3O2-,71.05,"[['C', 3], ['H', 3], ['O', 2]]","{'C': 0.5071498944405348, 'H': 0.0425615763546798, 'O': 0.4503589021815623}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '487b617a-40fc-4968-bfac-91cbe400f163')",Butyl acetate,"('water', 'surface water')",kilogram,Butyl acetate,C6H12O2,116.16,"[['C', 6], ['H', 12], ['O', 2]]","{'C': 0.6204028925619836, 'H': 0.10413223140495868, 'O': 0.27546487603305786}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'd37d4cea-4096-4303-8d9d-96e48b8f9ff0')",2-Aminopropanol,"('water', 'ground-, long-term')",kilogram,2-Aminopropanol,C3H9NO,75.11,"[['C', 3], ['H', 9], ['N', 1], ['O', 1]]","{'C': 0.4797363866329384, 'H': 0.12078285181733457, 'N': 0.1864864864864865, 'O': 0.21300758886965784}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '73a06727-fec3-4d8d-8de5-ef1a0cc2c280')",Acephate,"('air', 'non-urban air or from high stacks')",kilogram,Acephate,C4H10NO3PS,183.17,"[['C', 4], ['H', 10], ['N', 1], ['O', 3], ['P', 1], ['S', 1]]","{'C': 0.2622918600207458, 'H': 0.05503084566249932, 'N': 0.07646994595184801, 'O': 0.2620352677840258, 'P': 0.1690997434077633, 'S': 0.17505595894524212}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'c8de8312-39d5-4d3f-aba2-4daf8572738b')",Propylamine,"('water', 'ground-')",kilogram,Propylamine,C3H9N,59.11,"[['C', 3], ['H', 9], ['N', 1]]","{'C': 0.6095922855692777, 'H': 0.15347656910844187, 'N': 0.23696498054474707}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'bce93346-6a23-4531-981c-90ef717aabda')","Phthalate, dioctyl-","('water', 'ocean')",kilogram,Phthalate,C8H4O4-2,164.11,"[['C', 8], ['H', 4], ['O', 4]]","{'C': 0.5855097190908536, 'H': 0.024568886722320393, 'O': 0.3899579550301627}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '9325957a-bee5-4f2d-8bd1-458729c5e49e')",Mercury,"('water',)",kilogram,Mercury,Hg,200.59,"[['Hg', 1]]",{'Hg': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '2cc8dc8a-e6fb-4486-a840-4bdc1bc71e9b')",Sodium hypochlorite,"('air', 'urban air close to ground')",kilogram,Sodium hypochlorite,ClNaO,74.44,"[['Cl', 1], ['Na', 1], ['O', 1]]","{'Cl': 0.4762627619559377, 'Na': 0.3088393336915637, 'O': 0.21492477162815693}",1.0,dissipation
