flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,fraction,grade_source
"('ecoinvent-3.4-biosphere', '1f5330ac-e81c-45f2-8c9c-335b531faab0')","PAH, polycyclic aromatic hydrocarbons","('air', 'lower stratosphere + upper troposphere')",kilogram,PAH,C9H10N2O3,194.19,"[['C', 9], ['H', 10], ['N', 2], ['O', 3]]","{'C': 0.556666151707091, 'H': 0.05190792522786961, 'N': 0.14426077552912095, 'O': 0.24716514753591842}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'e5d3a0ba-404d-4aff-98ce-30bbf6474436')",Ethylene diamine,"('water', 'ground-, long-term')",kilogram,Ethylene diamine,C2H8N2,60.1,"[['C', 2], ['H', 8], ['N', 2]]","{'C': 0.3997004991680532, 'H': 0.1341763727121464, 'N': 0.46612312811980033}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '15fd8f0f-c3c2-4f63-b8d0-86793a22aacd')",Calcium,"('air', 'non-urban air or from high stacks')",kilogram,Calcium,Ca,40.08,"[['Ca', 1]]",{'Ca': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '98d3f159-b420-4e43-aab5-4fd093b82429')",2-Nitrobenzoic acid,"('air',)",kilogram,2-Nitrobenzoic acid,C7H5NO4,167.12,"[['C', 7], ['H', 5], ['N', 1], ['O', 4]]","{'C': 0.5030935854475825, 'H': 0.03015797032072762, 'N': 0.08381402584968885, 'O': 0.382934418382001}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'd216b8b6-3744-447a-be01-989a5985cc35')",Oxadixyl,"('soil', 'agricultural')",kilogram,Oxadixyl,C14H18N2O4,278.3,"[['C', 14], ['H', 18], ['N', 2], ['O', 4]]","{'C': 0.6042184692777578, 'H': 0.06519583183614804, 'N': 0.10066115702479338, 'O': 0.22995328781890045}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'e468ca97-9888-46ec-9b2e-3e25b0d55549')",Ethene,"('water', 'ground-')",kilogram,Ethene,C2H4,28.05,"[['C', 2], ['H', 4]]","{'C': 0.8563992869875222, 'H': 0.14374331550802139}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '2061c1e1-6a81-47ad-8a1d-81dd30783f2c')",Fluosilicic acid,"('water',)",kilogram,Fluosilicic acid,F6H2Si,144.091,"[['F', 6], ['H', 2], ['Si', 1]]","{'F': 0.7910834125656703, 'H': 0.013991158365199768, 'Si': 0.194918489010417}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '235b2f02-ff98-4da9-82e2-e4246c7b7990')",Sodium,"('air',)",kilogram,Sodium,Na,22.9897693,"[['Na', 1]]",{'Na': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '43bc4fc0-bfeb-46d6-b3de-f69c3ccd622a')","Methane, chlorotrifluoro-, CFC-13","('air', 'urban air close to ground')",kilogram,Methane,CH4,16.043,"[['C', 1], ['H', 4]]","{'C': 0.7486754347690582, 'H': 0.2513245652309419}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '195e0a29-e62d-47fc-b1f6-7155939e2b25')",Pendimethalin,"('water', 'surface water')",kilogram,Pendimethalin,C13H19N3O4,281.31,"[['C', 13], ['H', 19], ['N', 3], ['O', 4]]","{'C': 0.5550566990153212, 'H': 0.06808147595179695, 'N': 0.14937613309160713, 'O': 0.2274928015356724}",1.0,dissipation
